gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max
1,0.024444444444444442,0.03318485449570684,0.0,0.19999999999999998,0.5203640571335111,0.16861215790753534,0.0932209897058029,0.9073702946910709,0.6402047749847866,0.11552455123439574,0.2633071100006439,0.8475350969932015,0.3489207226919022,0.044969701813952136,0.23636493547619405,0.49255574586958656
2,0.027111111111111107,0.02803525117850695,0.0,0.15555555555555556,0.4705531932797182,0.15572453315575416,0.07662453481007349,0.8580617474326001,0.6151476877883693,0.12369440582826093,0.20034996326105567,0.8417165639621457,0.3449171275908916,0.046728713396550284,0.21119145335684994,0.4611540297036824
3,0.034888888888888886,0.041246623505655396,0.0,0.20000000000000004,0.44591455049035394,0.13686822308320684,0.05975717544098821,0.8368337904777144,0.6365125995358937,0.12611433693105611,0.2378401716291565,0.8183674225354617,0.3342036765643507,0.04769502129468206,0.1926528276590357,0.45578269693100504
4,0.03333333333333333,0.03377485367460147,0.0,0.15555555555555556,0.4560282690335282,0.13959801468975183,0.08091327224174676,0.7750236199065519,0.6510644578881377,0.12196388095702226,0.2392005328618766,0.8081885020909946,0.3353425391162748,0.04589674814486162,0.19104116208553615,0.48692330685504376
5,0.035777777777777776,0.03483931368121045,0.0,0.15555555555555556,0.45364834345900595,0.16100306613016716,0.0446555254444902,0.7520862614154114,0.643149438251059,0.13505523180009785,0.17272817769355112,0.8650763578477395,0.33576751171800084,0.045588603440110786,0.21628406305884948,0.43120744828665636
6,0.04222222222222222,0.04613453220450377,0.0,0.26666666666666666,0.4564263458305278,0.16130901081222423,0.0400592951483719,0.8482841486123905,0.6580601363349117,0.11765032334422842,0.2330196862829487,0.8188084092379908,0.3326271123777465,0.048445291198170724,0.20302843139109514,0.42160049752338596
7,0.04844444444444444,0.045257016371654434,0.0,0.20000000000000004,0.4702007403553865,0.14523728389666987,0.08315702900420863,0.8267871071819476,0.6669078017124899,0.10974233548162646,0.23667060602376833,0.8475255584761173,0.3248194584758675,0.05437340984436025,0.18896228722132077,0.4514735176563825
8,0.06266666666666666,0.06504547317259607,0.0,0.35555555555555557,0.4815864334492609,0.15549905943128364,0.08855696117661448,0.777862963777856,0.6754254823400473,0.10440264096624698,0.26713565986884874,0.8198249177851876,0.3047344870020367,0.06162475655558448,0.1666118568203051,0.4504157650651998
9,0.07244444444444445,0.0763112534781562,0.0,0.3333333333333333,0.5120994089898194,0.17676102481602282,0.10173359258073596,0.8152938352235224,0.6624522691177294,0.11848318043231819,0.24484585701314257,0.8702047541516799,0.30256151935763725,0.06828471177755731,0.16957203553295866,0.44701069498303436
10,0.10377777777777776,0.08110684920309949,0.0,0.35555555555555557,0.5796352656001266,0.15789051678489172,0.07392640529038612,0.8258409116521888,0.68096432601981,0.08515843973868373,0.2539042359161864,0.8693404093633189,0.26597394571738386,0.06393046538752917,0.15539631483006042,0.4169432189556148
