gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max,mrph-avg,mrph-std,mrph-min,mrph-max,cap-avg,cap-std,cap-min,cap-max
1,0.0231,0.025665606038691804,0.0,0.09333333333333332,0.4823761200575708,0.14801695337842366,0.08082449958710641,0.9198922321646519,0.6206688999813353,0.09963462849338653,0.2041691011459862,0.7693899466701027,0.37822416927577956,0.03449229612443744,0.30096699505848196,0.47058987709769157,0.5072717896774611,0.17234485562891125,0.1515539687117947,0.8819919724376032,0.033,0.03666515148384544,0.0,0.13333333333333333
2,0.029866666666666663,0.030969232043002504,0.0,0.13999999999999999,0.45973911900915304,0.14318784623381356,0.05843939414048343,0.7958245677640104,0.6170815055817638,0.10708384797241548,0.19036845889466322,0.7582261420399209,0.3801172328035565,0.038060453241263024,0.30407885404059154,0.4894543257024358,0.5272976508138955,0.1779459140620699,0.1515539687117947,0.8813690163558917,0.04266666666666666,0.04424176006143215,0.0,0.20000000000000004
3,0.030099999999999995,0.031007006376695644,0.0,0.11666666666666665,0.4363718887453205,0.13925605827183093,0.0692213699264676,0.7959067434694681,0.6261204201262791,0.10618224253875674,0.20331432440564678,0.7847984102262768,0.3820020562047092,0.03821696593089954,0.31225373463424666,0.4829159002600789,0.49346184693065026,0.17003479334964816,0.11892319246353472,0.8505104909561219,0.04299999999999999,0.0442957233952795,0.0,0.16666666666666666
4,0.037333333333333336,0.03348963355361709,0.0,0.13999999999999999,0.4224811653767278,0.1502652278639506,0.07662966368983067,0.760144911961028,0.6114851523803745,0.11936093268827762,0.225290789343873,0.7777113114468759,0.38485723364611774,0.03605393849224945,0.30673458830625394,0.4681432233839278,0.5149574381645521,0.15140336026833787,0.16286103479859992,0.78299129120694,0.05333333333333332,0.04784233364802442,0.0,0.20000000000000004
5,0.03733333333333333,0.032499572646762946,0.0,0.13999999999999999,0.3661677373789641,0.160939919253247,0.08272487018284358,0.7639602644200582,0.5794923286900051,0.12891769637871978,0.21174807562239387,0.7451075556542296,0.38129350475057755,0.03910796718296216,0.2737381782102844,0.4658526325296289,0.5214106115328334,0.13682199803627812,0.24442969586423424,0.8517022885249935,0.05333333333333332,0.04642796092394707,0.0,0.20000000000000004
6,0.04479999999999999,0.03899948717611553,0.0,0.18666666666666665,0.32050247367805185,0.14879479613534963,0.058447384711868146,0.6144671280625378,0.5560426886358102,0.14265455190502416,0.19177597133022836,0.7555645408686821,0.38544049548861037,0.04024401663662937,0.300588816570331,0.47775618287139876,0.5249000959329956,0.13651995046448107,0.15498887514130297,0.8517022885249935,0.06399999999999999,0.055713553108736484,0.0,0.26666666666666666
7,0.057866666666666663,0.04420789270908281,0.0,0.21,0.2571186328096408,0.1508946962205527,0.06168301887892339,0.6726532024770197,0.49734528956994367,0.14301972387229164,0.26073039515167373,0.7238770986618707,0.39979223612847165,0.03908180533238794,0.3210938517374871,0.48221380549786597,0.5482155139190563,0.12046497787141237,0.19442969586423423,0.8282650293967228,0.08266666666666665,0.06315413244154688,0.0,0.3
8,0.06066666666666665,0.041739935579996064,0.0,0.18666666666666665,0.23171158897382774,0.14861289720946844,0.08371311921308945,0.7375137466663181,0.4711134120665362,0.13603288516101925,0.2424343951076046,0.7269798868691932,0.4039374933980692,0.04054216552531605,0.3136776974574429,0.49599100089190573,0.5640106497742586,0.1379514990012477,0.19442969586423423,0.838912566536103,0.08666666666666663,0.05962847939999439,0.0,0.26666666666666666
9,0.06463333333333333,0.043132599169434606,0.0,0.16333333333333333,0.20528578529198435,0.11975822141024534,0.05607249915380332,0.474484439405191,0.4591152186976411,0.13150772363836424,0.2532161099142561,0.7295768526335814,0.3998761821682723,0.044677666923027284,0.2948027119447719,0.48445924418436287,0.5949887694799794,0.12762743177165858,0.15662133233722128,0.8451797435272539,0.09233333333333332,0.061617998813478014,0.0,0.2333333333333333
10,0.06136666666666666,0.03982488055363269,0.0,0.18666666666666665,0.20736217759867664,0.1215088282396073,0.06287643049514918,0.5326981296076228,0.4583352213558791,0.13563535352458675,0.242623718477985,0.7750262709193022,0.4029314904645418,0.04387818106937343,0.32202330650437383,0.503342860643286,0.5825621816037443,0.14111051570057437,0.15662133233722128,0.9248093731568835,0.08766666666666664,0.05689268650518956,0.0,0.26666666666666666
