mode,environment,dogs,gen,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std,cap-avg,cap-max,cap-min,cap-std,mrph-avg,mrph-max,mrph-min,mrph-std
fixed,field,15dogs,100,0.6532194498538618,0.7662262449139198,0.4178139741401369,0.0536542162482906,0.4500999999999999,0.7211111111111111,0.0077777777777777,0.1471404521160546,0.3167793160645657,0.6750698275051924,0.1297344090961167,0.0745090742145747,0.2793073392590925,0.3874230486542026,0.211074088787107,0.0323989161945346,,,,,,,,
fixed,field,20dogs,100,0.5885376306639661,0.7615595446669321,0.4070017772466041,0.0570734388781817,0.3317966666666666,0.5207777777777778,0.0041111111111111,0.1090441977646187,0.3072162252423364,0.605665029133025,0.1529656497498342,0.0661123668175487,0.3610826345557679,0.4468800271086266,0.2830918457093676,0.03173514930633,0.0781333333333332,0.2355555555555555,0.0022222222222222,0.0480693792059354,0.5786441807702418,0.8151128881652999,0.2535994423967766,0.1076921411931754
fixed,ice,15dogs,100,0.6676811220829422,0.7923451775978785,0.408967464815838,0.0560451070769048,0.4514444444444444,0.7166666666666667,0.0033333333333333,0.1462270255528033,0.3767914052132216,0.7184355180114682,0.1435913374356898,0.0746801969548535,0.2793803330242844,0.3898129371201709,0.2121208453586585,0.0325301052637917,,,,,,,,
fixed,ice,20dogs,100,0.6243248394234522,0.7281467053248168,0.3697778901702625,0.0542685930803911,0.5805666666666667,0.8683333333333334,0.0116666666666666,0.1839988688206643,0.3720648221593297,0.7374501225558026,0.1479261651637219,0.0870602273600866,0.3618995652650963,0.4707049313479799,0.2631557640761911,0.0386713118119088,,,,,,,,
fixed,ice_mud_high,15dogs,100,0.6578313200329596,0.7785345464907492,0.4503444152787423,0.0497272076672898,0.4348666666666666,0.7055555555555556,0.0099999999999999,0.1454107354357903,0.3347267945226564,0.6459284165957822,0.1712869071687894,0.0709863454076968,0.2823589824788052,0.3917792777663951,0.2184175639764768,0.0300022880204086,,,,,,,,
fixed,ice_mud_high,20dogs,100,0.6344305008301767,0.7279827994959032,0.3766221974950057,0.0503728654760927,0.59605,0.86,0.0099999999999999,0.1756407838610532,0.3762989275283521,0.7064314371211224,0.1642000034387061,0.0732537117534214,0.350956086329144,0.4567047580719075,0.2647686304478318,0.0364814870711582,,,,,,,,
fixed,ice_mud_low,15dogs,100,0.674708585033134,0.7699638819568267,0.4402541771439067,0.0496103353049073,0.4983333333333333,0.7522222222222222,0.0077777777777777,0.1490002470203822,0.3716434448095954,0.6828701460676534,0.1617214279342277,0.0670133742102836,0.2745422260707874,0.386272672129251,0.2133237572167424,0.030406608253094,,,,,,,,
fixed,ice_mud_low,20dogs,100,0.6149717950126411,0.7243518319331196,0.4270310497330536,0.048473581443736,0.57765,0.8400000000000001,0.0083333333333333,0.166700622344977,0.3883912588414257,0.7337503239407372,0.1831058886533407,0.0796361246548252,0.3633713676271298,0.4718696984480706,0.2730275233198497,0.0370366856344968,,,,,,,,
fixed,mud,15dogs,100,0.5444872884685735,0.7745211753195829,0.3992842350007249,0.062168002012012,0.1534822222222222,0.278111111111111,0.0,0.0596194778075676,0.2553329174787457,0.5416433021437443,0.1453598159153105,0.0592516621950239,0.3453765261300002,0.4303762295256234,0.276877648168988,0.0265674491073616,0.0646222222222221,0.191111111111111,0.0,0.0412788721697,0.645563465445257,0.8640665064739318,0.3470039775449892,0.114044078407541
fixed,mud,20dogs,100,0.4932318407400373,0.6718315929869141,0.3504482803278165,0.0542566653081342,0.1959999999999999,0.3741666666666666,0.0011666666666666,0.0784815612429742,0.2979403025634846,0.4756870432900693,0.1978182488680037,0.0452994705063546,0.3839484163487202,0.4612057973927084,0.3154196423509245,0.0279447028500849,0.0919999999999999,0.2777777777777777,0.0022222222222222,0.0576397119145811,0.6149211634859368,0.8731767157191636,0.3133256528094483,0.1149666066114394
