mode,environment,dogs,gen,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std,cap-avg,cap-max,cap-min,cap-std,mrph-avg,mrph-max,mrph-min,mrph-std
fixed,field,15dogs,1,0.6478972333757628,0.8530601726598416,0.22944649412148505,0.12154282603450717,0.028188888888888847,0.1333333333333333,0.0,0.029037471320540624,0.49906103870065194,0.8646413591711773,0.07750057298518817,0.1723739905509229,0.34527096957701836,0.4540070791214109,0.2570028329733782,0.03994665159527522,,,,,,,,
fixed,field,15dogs,2,0.6376221138494796,0.8464281619475894,0.21123538514581516,0.1303040902079121,0.03171111111111105,0.15666666666666662,0.0,0.031948972605742545,0.4652631567835643,0.8654222811345423,0.0631328994308171,0.17058307765108488,0.34589609737254234,0.45476758327567623,0.26610021319610366,0.038696260221353265,,,,,,,,
fixed,field,15dogs,3,0.6207976003241016,0.8395443221911748,0.2033132598014023,0.13953079663629436,0.033555555555555505,0.14444444444444443,0.0,0.032385957488156945,0.43516851673607376,0.8315741745577204,0.06123162301391496,0.17289977699132045,0.3469707488304162,0.4598272888824947,0.2610405863332598,0.04080352494484353,,,,,,,,
fixed,field,15dogs,4,0.6118051741197699,0.836502060054463,0.19638419223450135,0.1390766329509417,0.036588888888888844,0.1555555555555555,0.0,0.034338201839769614,0.42308438925999586,0.8257238429007545,0.0642453287728957,0.1754051407166583,0.34641759000606853,0.4513282778942319,0.2548005615201766,0.04012646921893287,,,,,,,,
fixed,field,15dogs,5,0.6099645123112291,0.8408141893497714,0.20890233907606187,0.1396881009713082,0.0372555555555555,0.16333333333333327,0.0,0.03441164137094179,0.4159808342991379,0.8193227695928886,0.06128641385724039,0.1766929046351315,0.3482197013946343,0.4491031882703225,0.2528861876975455,0.04013010749236563,,,,,,,,
fixed,field,15dogs,6,0.5973278945957616,0.8384973673563589,0.20829030097483173,0.1460365040520912,0.040499999999999946,0.17111111111111107,0.0,0.03645291288503217,0.4016963364549431,0.8330439846019193,0.06000459670468061,0.17909300272888623,0.34887320880713424,0.4559099679777267,0.24983027629898755,0.04268914641115594,,,,,,,,
fixed,field,15dogs,7,0.6017575686238323,0.8422161098463727,0.2072206201802343,0.14556068483260504,0.0407444444444444,0.18555555555555553,0.0,0.03856301346764409,0.3993284835089291,0.8153643451701142,0.06218307928355423,0.17405520198117252,0.34698449912417706,0.4537987830364342,0.24735413463542458,0.04074691795698492,,,,,,,,
fixed,field,15dogs,8,0.6046718859998773,0.8357160176351786,0.20713326403381654,0.14132994430369075,0.043311111111111064,0.17555555555555552,0.0,0.0385380735914954,0.3990315269816567,0.8221689047758224,0.05862187848520136,0.17332901490986238,0.3456516406698031,0.4429008039734141,0.24767212457040677,0.040063513804680824,,,,,,,,
fixed,field,15dogs,9,0.5994641073711462,0.8344223413639235,0.20748264032209301,0.14149987991912802,0.04597777777777773,0.18555555555555553,0.0,0.04088124544822297,0.39091784455990586,0.8194258559708729,0.06734305905102247,0.17424593764874166,0.34635125262750616,0.45072534559956673,0.2448375977241787,0.04124311734318646,,,,,,,,
fixed,field,15dogs,10,0.6045491463340374,0.8351970462016467,0.22639252867184192,0.1356952177226045,0.04911111111111106,0.20777777777777776,0.0,0.04320619236853716,0.3898523751748345,0.8052500728477966,0.07110576954719247,0.17153135356384847,0.3436907904267794,0.4469200439320954,0.24108181678164833,0.04174855786313045,,,,,,,,
fixed,field,15dogs,11,0.6034898499059006,0.8365631078456415,0.2346766797504,0.1356192333662984,0.05157777777777772,0.21444444444444444,0.0,0.045767777067826254,0.38542743569580984,0.8285840706993227,0.06389639598220671,0.170954331540678,0.3421976706559815,0.44723781981047156,0.23499189435309614,0.042721087125696715,,,,,,,,
fixed,field,15dogs,12,0.6035678729672536,0.8389367223278313,0.24843788108233494,0.1295270143843275,0.05692222222222217,0.24888888888888885,0.0,0.05121409480006128,0.3859611373198084,0.8110568129181448,0.07525736304859657,0.16745795032065716,0.3390870953564593,0.44696269556865753,0.2309629901223073,0.04302566302265819,,,,,,,,
fixed,field,15dogs,13,0.5998860854815277,0.824447411094621,0.23836723224342346,0.1292803258603212,0.06338888888888884,0.27888888888888885,0.0,0.056289031843536376,0.3783127938606948,0.7989345635930214,0.07168676239526513,0.16743446064337447,0.3372925893906509,0.44156351104376146,0.224502252751486,0.044338483852663764,,,,,,,,
fixed,field,15dogs,14,0.584332775816067,0.8139265042577332,0.22997334066190564,0.13009279073169683,0.07304444444444438,0.2866666666666666,0.0,0.05987485455585967,0.35736447777658603,0.7916695371232211,0.06312433374880388,0.16302670709657818,0.3365570914437487,0.44605256123992243,0.23514633895572504,0.044578324148781795,,,,,,,,
fixed,field,15dogs,15,0.5933945402469314,0.8225573874087825,0.25704603304807944,0.12608041625723526,0.08274444444444441,0.30333333333333334,0.0,0.06579970825068727,0.3613037311085542,0.7907694173052275,0.07407974354811404,0.16053512224887495,0.3321598254454724,0.4408397669265172,0.23607165066695282,0.042884192186030026,,,,,,,,
fixed,field,15dogs,16,0.5929265576841891,0.8096568032086683,0.2701507234846731,0.11751556329045357,0.09302222222222217,0.31111111111111106,0.0,0.07063176291370439,0.3632621155647923,0.799985623702288,0.08700232222227623,0.15925956731703983,0.3275974644362839,0.4430560912179066,0.2279095900558698,0.04335221336843767,,,,,,,,
fixed,field,15dogs,17,0.5933557313156836,0.8117170952663585,0.28187162642790153,0.11222873318281759,0.10621111111111103,0.3433333333333333,0.0,0.07467481730669802,0.35580608218410126,0.7888079449669554,0.0912812963959724,0.150727595791689,0.32590177295347617,0.4464866398202978,0.22618964595849805,0.04386273605929143,,,,,,,,
fixed,field,15dogs,18,0.5930531195590227,0.8077070193070901,0.285795388848646,0.10980764386479061,0.12062222222222216,0.3355555555555555,0.00111111111111111,0.07657153010526972,0.3501330497058232,0.7808484900867322,0.08797905329743046,0.14584029259599968,0.32014260946338563,0.43494873046593874,0.22184859504534266,0.0427100770161104,,,,,,,,
fixed,field,15dogs,19,0.5977617250254846,0.8060939038320626,0.271404619813164,0.10610459741055538,0.1338555555555555,0.36777777777777776,0.00222222222222222,0.08104074679314413,0.3491306085384642,0.7518890382277159,0.10042782665095351,0.13697040353230255,0.3164144527195427,0.4269051527361375,0.2210819871836601,0.04156427424740566,,,,,,,,
fixed,field,15dogs,20,0.6084458722714707,0.8036474405227374,0.2925468250106301,0.10185111841939035,0.1493333333333333,0.3877777777777777,0.00222222222222222,0.0849878591235303,0.35014405231762047,0.7364572259367876,0.09819884453497571,0.1291893685880653,0.3100516305529709,0.4281694907283452,0.22242332476669416,0.040819527929142355,,,,,,,,
fixed,field,15dogs,21,0.6145472624417003,0.7974982698169796,0.3323837982010446,0.0932198291291598,0.1583777777777777,0.3988888888888889,0.00111111111111111,0.08973281845218209,0.3570408982807932,0.7612284360579578,0.11016299956375641,0.12497179517495235,0.3055437375664651,0.42198247904429503,0.2169511257687792,0.03914428252135403,,,,,,,,
fixed,field,15dogs,22,0.6188483354349407,0.7960875795701992,0.35286588637280814,0.0895789382154396,0.1719555555555555,0.4144444444444444,0.00222222222222222,0.08961378813360987,0.359398431540758,0.717253831826459,0.11518616410701943,0.12295804778681205,0.302346596560095,0.41206399191425397,0.22198108033478675,0.038284080632753396,,,,,,,,
fixed,field,15dogs,23,0.6212141790058708,0.7911294869680294,0.34993478364947433,0.08527766391973711,0.18394444444444438,0.4322222222222222,0.00111111111111111,0.09288292925452614,0.35444140594005946,0.7392937044667337,0.11522713371825608,0.11649960495340564,0.2991962940133202,0.4198219823823271,0.21812044235551215,0.0378620896497146,,,,,,,,
fixed,field,15dogs,24,0.6248240962411048,0.7893844509977186,0.3374087914045769,0.08279889192781201,0.19602222222222218,0.4322222222222222,0.00222222222222222,0.09406502841480807,0.35403050146456644,0.7239522917194929,0.12231623445271542,0.1090211737214057,0.29726238648186903,0.409375236902313,0.21836509799093579,0.03656777488446022,,,,,,,,
fixed,field,15dogs,25,0.6284041643975635,0.8000397936267231,0.35049225039622717,0.07823334792687098,0.2037222222222222,0.4622222222222222,0.00111111111111111,0.09764242971226164,0.35332895301146416,0.6919130837864751,0.1116902123581491,0.10528778653552136,0.29559579030819966,0.4109028430056621,0.2178420723106675,0.03593158525749908,,,,,,,,
fixed,field,15dogs,26,0.6245120595496656,0.7933419930773176,0.32926302711988364,0.07900073128526774,0.2124777777777777,0.45444444444444443,0.00111111111111111,0.096497683153646,0.34909168714482486,0.70185400292283,0.11175050006489062,0.10097276196453268,0.29447404716137354,0.41495820589594234,0.21802822765273883,0.03515812253864635,,,,,,,,
fixed,field,15dogs,27,0.6244189930213095,0.7785551559213387,0.3519963343383254,0.07375145181626913,0.2251666666666666,0.47111111111111115,0.0033333333333333296,0.10006759408153938,0.3423958662806935,0.6976345447400362,0.12027063838505785,0.09374482628008055,0.2933280217832664,0.4077355094944214,0.2238508294142784,0.03451974828539364,,,,,,,,
fixed,field,15dogs,28,0.625394646124918,0.7846933615610234,0.37859727675919136,0.07239017965336664,0.23411111111111108,0.4955555555555556,0.00555555555555555,0.10527222576409341,0.34327777369013185,0.7054807950495172,0.1288901684816101,0.09600747457142106,0.29277959567929235,0.4019303033725696,0.22649149659130713,0.03267892948816615,,,,,,,,
fixed,field,15dogs,29,0.6249964230786778,0.7840811537224674,0.38626507982713,0.06972788400168431,0.24466666666666664,0.5155555555555555,0.0033333333333333296,0.10685717083497907,0.3397175234925112,0.6565372513889931,0.1439158322715603,0.08759471045670851,0.2916911323389918,0.3957040310523868,0.21820405171156287,0.0323574833066708,,,,,,,,
