group,metric,count,mean,std,min,max
field__15dogs,cap-avg,20,0.1118,0.034958292610226586,0.07366666666666666,0.2206666666666667
field__15dogs,cap-max,20,0.30666666666666664,0.07788880963698615,0.20000000000000004,0.4666666666666666
field__15dogs,cap-min,20,0.0,0.0,0.0,0.0
field__15dogs,cap-std,20,0.06384393802253543,0.012708982824810177,0.0481606109226663,0.09806800361653811
field__15dogs,dog-avg,20,0.4752443980964839,0.12643827819324382,0.2418205507798473,0.6555882075515297
field__15dogs,dog-max,20,0.712764741486555,0.035777144108454624,0.639066944328326,0.8031960109111799
field__15dogs,dog-min,20,0.3823550340777446,0.1307993436815539,0.14273378457007838,0.5685853424785691
field__15dogs,dog-std,20,0.05204014926657016,0.021665064150186545,0.029596732377409993,0.1043831792014009
field__15dogs,fit-avg,20,0.07826,0.024470804827158608,0.05156666666666666,0.15446666666666664
field__15dogs,fit-max,20,0.21466666666666664,0.0545221667458903,0.13999999999999999,0.3266666666666666
field__15dogs,fit-min,20,0.0,0.0,0.0,0.0
field__15dogs,fit-std,20,0.044690756615774804,0.008896287977367124,0.033712427645866405,0.06864760253157667
field__15dogs,gen,20,100.0,0.0,100.0,100.0
field__15dogs,mrph-avg,20,0.5805415954049383,0.09602986961717944,0.3478141244925665,0.7136295886813252
field__15dogs,mrph-max,20,0.816639285809865,0.09826092327185991,0.6235707106642269,0.9661847309148633
field__15dogs,mrph-min,20,0.25286672715482417,0.09505702010340156,0.07777777777777778,0.46398572570053603
field__15dogs,mrph-std,20,0.11530668166667536,0.018296803862878755,0.08518176702663692,0.15563775501438773
field__15dogs,pen-avg,20,0.24250393361261213,0.11405533018216665,0.09292495720014467,0.4959519622716864
field__15dogs,pen-max,20,0.5129935128133745,0.04160632963957544,0.41004505597166113,0.5771619936170965
field__15dogs,pen-min,20,0.1757182927528691,0.10778829892683738,0.0366300608180767,0.42635524193741836
field__15dogs,pen-std,20,0.04946592542768732,0.016355715320467624,0.03304618884722597,0.08250393061993805
field__15dogs,shp-avg,20,0.39509517813898076,0.026562091526189546,0.35415801006144787,0.44368271506014517
field__15dogs,shp-max,20,0.46965094396162865,0.02207287370291616,0.43340339302569486,0.509238762243927
field__15dogs,shp-min,20,0.33066875867063966,0.016642364315501767,0.29592144299291645,0.3637700706227068
field__15dogs,shp-std,20,0.02611699721422871,0.0018683820378176356,0.02295716170262913,0.02950488568008797
field__20dogs,cap-avg,20,0.07447777777777777,0.023347009219730323,0.05444444444444443,0.1542222222222222
field__20dogs,cap-max,20,0.20777777777777778,0.04403982485023648,0.13333333333333333,0.3111111111111111
field__20dogs,cap-min,20,0.0011111111111111111,0.004843221048378526,0.0,0.022222222222222223
field__20dogs,cap-std,20,0.04432583049711141,0.008388028513678673,0.032810717911629775,0.07033043701250812
field__20dogs,dog-avg,20,0.4857031850835823,0.14743169361580305,0.2667595926718878,0.7420933986337923
field__20dogs,dog-max,20,0.7652857250471394,0.06921421198966704,0.535648520564214,0.8541870876899971
field__20dogs,dog-min,20,0.37752368155930816,0.15514836009152144,0.15023235546791594,0.6673823975790176
field__20dogs,dog-std,20,0.062452204064708985,0.018606984503692622,0.035493580419253316,0.11047792858480195
field__20dogs,fit-avg,20,0.05213444444444444,0.016342906453811226,0.0381111111111111,0.10795555555555555
field__20dogs,fit-max,20,0.14544444444444443,0.03082787739516553,0.09333333333333332,0.21777777777777776
field__20dogs,fit-min,20,0.0007777777777777776,0.003390254733864968,0.0,0.015555555555555553
field__20dogs,fit-std,20,0.031028081347977982,0.00587161995957507,0.02296750253814084,0.04923130590875568
field__20dogs,gen,20,100.0,0.0,100.0,100.0
field__20dogs,mrph-avg,20,0.5894654749591567,0.060413425856262526,0.44562017887972566,0.6749187950033069
field__20dogs,mrph-max,20,0.817730620978993,0.05978234657865149,0.6992724848515346,0.9229417060254054
field__20dogs,mrph-min,20,0.28639166750694256,0.06494376567873297,0.16850439817308116,0.3891815344370276
field__20dogs,mrph-std,20,0.1090542604702753,0.013880488186872594,0.08318669016560999,0.1491779168686724
field__20dogs,pen-avg,20,0.23445106925223358,0.11651859175229949,0.08887798706836982,0.4426227405575365
field__20dogs,pen-max,20,0.48440752732244546,0.07763852433627172,0.26331286088555783,0.5800426427415107
field__20dogs,pen-min,20,0.1647659914763685,0.11261410740929634,0.03529535925686661,0.3693074868179464
field__20dogs,pen-std,20,0.046971425081445486,0.015438032130421449,0.02664571043144202,0.08101473912285317
field__20dogs,shp-avg,20,0.3638226910127519,0.04050574996857751,0.25873802927998046,0.4119447761140958
field__20dogs,shp-max,20,0.4294333093965929,0.03940847176131469,0.33252549156847355,0.4840623888822604
field__20dogs,shp-min,20,0.29711022656797126,0.03612731431172978,0.2202355707547685,0.3646125129955868
field__20dogs,shp-std,20,0.02390273377001704,0.0025031137757267367,0.020542963957993866,0.02881177731845614
