mode,environment,dogs,gen,cap-avg,cap-max,cap-min,cap-std,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,mrph-avg,mrph-max,mrph-min,mrph-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std
evolving,field,15dogs,100,0.1117999999999999,0.3066666666666666,0.0,0.0638439380225354,0.4752443980964839,0.712764741486555,0.3823550340777446,0.0520401492665701,0.0782599999999999,0.2146666666666666,0.0,0.0446907566157747,0.5805415954049383,0.816639285809865,0.2528667271548241,0.1153066816666753,0.2425039336126121,0.5129935128133745,0.175718292752869,0.0494659254276872,0.3950951781389807,0.4696509439616286,0.3306687586706396,0.0261169972142286
evolving,field,20dogs,100,0.0744777777777777,0.2077777777777777,0.0011111111111111,0.0443258304971113,0.4857031850835822,0.7652857250471394,0.3775236815593081,0.0624522040647089,0.0521344444444443,0.1454444444444443,0.0007777777777777,0.0310280813479779,0.5894654749591567,0.817730620978993,0.2863916675069425,0.1090542604702752,0.2344510692522335,0.4844075273224454,0.1647659914763684,0.0469714250814454,0.3638226910127519,0.4294333093965928,0.2971102265679712,0.0239027337700169
evolving,ice,15dogs,100,0.067111111111111,0.1977777777777777,0.0,0.042176629383857,0.5163928730147559,0.7630722448429473,0.3992625248224607,0.0644734002561061,0.0469777777777777,0.1384444444444443,0.0,0.0295236405686999,0.6055953347343834,0.8361583742404841,0.3166419759232044,0.1101543564302156,0.2611906418533319,0.4931596880134943,0.1898605350011379,0.0501246088344297,0.3567961356563229,0.4246107131707616,0.2860593509093462,0.0250160813522127
evolving,ice,20dogs,100,0.0990333333333332,0.2733333333333333,0.0,0.0599035912354778,0.4418723136863238,0.6802922674219835,0.3480193806855688,0.0526715331150337,0.0693233333333332,0.1913333333333332,0.0,0.0419325138648344,0.5971747556290194,0.8298426052665002,0.2938571913925557,0.1120570641162899,0.2070845863171536,0.4700792876322286,0.1461407065631712,0.0457469896757777,0.4012446094301208,0.4687167512706981,0.3282912689224745,0.0249925610696082
evolving,ice_mud_high,15dogs,100,0.0605888888888888,0.1944444444444444,0.0,0.0412391869635257,0.4945365504601199,0.786894438200725,0.3769514853513269,0.0702900577811283,0.0424122222222221,0.136111111111111,0.0,0.0288674308744679,0.598801274618461,0.8353543264236658,0.2718235009748914,0.1164512077768751,0.2507835931242928,0.5009344121754494,0.1730229064455308,0.0520107332400024,0.363762805950637,0.4293988976614891,0.2900607576431336,0.0249533025307964
evolving,ice_mud_high,20dogs,100,0.0829833333333332,0.2533333333333333,0.0,0.0545085141391888,0.3867325432918197,0.6980584481813102,0.27676819949313,0.0737810702931873,0.0580883333333332,0.1773333333333333,0.0,0.0381559598974322,0.5527494780378464,0.8040159147322129,0.2462147982239526,0.1179928766862701,0.1877826502240625,0.4778170993284455,0.1158857606355283,0.0601141682792621,0.4156230748519997,0.4791302791268337,0.3346269476581871,0.0269671965146844
evolving,ice_mud_low,15dogs,100,0.0626999999999999,0.191111111111111,0.0011111111111111,0.0400623563259566,0.5176918628453466,0.7844804920223207,0.3950284319929404,0.0633743641022366,0.0438899999999999,0.1337777777777777,0.0007777777777777,0.0280436494281696,0.5883600935812313,0.8277448088143547,0.2809005889098709,0.1124375276638071,0.2541187864951413,0.5029313584412191,0.1723983090721274,0.0508939212966576,0.3638918922377013,0.4327146969350145,0.293345993184445,0.0247317735756318
evolving,ice_mud_low,20dogs,100,0.0946666666666666,0.2716666666666666,0.0,0.0584227411562085,0.4347822263947595,0.7088688840662967,0.3322196388079272,0.0613884669314472,0.0662666666666666,0.1901666666666666,0.0,0.0408959188093459,0.5971933733796633,0.8608331187523639,0.2598436091171222,0.1233871731146734,0.1973068825324234,0.5024103114328579,0.1246008986541271,0.0568614525629424,0.4067640201063017,0.4776022222041293,0.3336947733425717,0.0263248307315001
evolving,mud,15dogs,100,0.0715222222222221,0.2055555555555555,0.0022222222222222,0.0432155589898111,0.5682861223806197,0.7684442145489401,0.4583452646404247,0.0545178933754809,0.0500655555555554,0.1438888888888888,0.0015555555555555,0.0302508912928678,0.5876738292782402,0.8219113075009826,0.2859492348755996,0.1099762036102259,0.2972501454140021,0.4743222810066386,0.2200614161977133,0.0420617550265644,0.3467359431257226,0.4179490889913376,0.2800683120713986,0.0249221778469861
evolving,mud,20dogs,100,0.0949833333333332,0.2516666666666666,0.0,0.0574812481786912,0.451158204383914,0.6927272161910155,0.3513084205889998,0.0578638404084102,0.0664883333333332,0.1761666666666666,0.0,0.0402368737250838,0.626776838389239,0.8583320652050295,0.3024117238875144,0.1134201673115704,0.2609314443659149,0.4915838216958904,0.1974490561770894,0.0440314440454276,0.3899138812281513,0.4685824409090734,0.319205817760432,0.0271659707528949
