group,metric,count,mean,std,min,max
field__15dogs,dog-avg,20,0.6532194498538618,0.06555740411229066,0.4389819746998666,0.7143880202677942
field__15dogs,dog-max,20,0.7662262449139198,0.026770448086809027,0.7098771144719659,0.8234760384278719
field__15dogs,dog-min,20,0.4178139741401369,0.11658783419775885,0.19046641083167204,0.5627345120676949
field__15dogs,dog-std,20,0.05365421624829065,0.017965882892727547,0.033436714827926435,0.09471741701352397
field__15dogs,fit-avg,20,0.4501,0.12174363826003445,0.14644444444444443,0.6124444444444445
field__15dogs,fit-max,20,0.7211111111111111,0.1350765672215047,0.35555555555555557,0.8666666666666667
field__15dogs,fit-min,20,0.007777777777777778,0.010599324460188285,0.0,0.022222222222222223
field__15dogs,fit-std,20,0.14714045211605467,0.029290219881602974,0.07838461678255594,0.18678567634829202
field__15dogs,gen,20,100.0,0.0,100.0,100.0
field__15dogs,pen-avg,20,0.3167793160645658,0.06849775746712525,0.18346484502967544,0.46970147738408385
field__15dogs,pen-max,20,0.6750698275051924,0.09656846532088895,0.48978752340074205,0.8722861924793183
field__15dogs,pen-min,20,0.12973440909611678,0.08448861221774859,0.04048903894578554,0.36745542852473734
field__15dogs,pen-std,20,0.07450907421457478,0.015638858463524533,0.04467774669055012,0.10591200442382101
field__15dogs,shp-avg,20,0.27930733925909257,0.024555855973600965,0.23322228827664554,0.33814905227632897
field__15dogs,shp-max,20,0.3874230486542026,0.028607173703228204,0.3315956610183632,0.42753676026315784
field__15dogs,shp-min,20,0.21107408878710704,0.02970669486309858,0.14874128819612722,0.2661161065877285
field__15dogs,shp-std,20,0.0323989161945347,0.004613318047609949,0.020765540949258064,0.04046126617536065
field__20dogs,cap-avg,10,0.07813333333333333,0.03262403870207623,0.046888888888888876,0.15488888888888888
field__20dogs,cap-max,10,0.23555555555555557,0.07710822921287765,0.17777777777777778,0.37777777777777777
field__20dogs,cap-min,10,0.0022222222222222222,0.006666666666666667,0.0,0.022222222222222223
field__20dogs,cap-std,10,0.048069379205935535,0.014629294727957806,0.033243582876536275,0.07940861662982002
field__20dogs,dog-avg,20,0.5885376306639661,0.10411648665914809,0.29276019735607417,0.7245741745887895
field__20dogs,dog-max,20,0.7615595446669321,0.04213231147269066,0.6647590502195339,0.822774263462906
field__20dogs,dog-min,20,0.40700177724660414,0.12602262989543625,0.14905118225316535,0.6209777408547287
field__20dogs,dog-std,20,0.05707343887818175,0.01615927214830967,0.03393220980930651,0.10104058340309459
field__20dogs,fit-avg,20,0.3317966666666667,0.3087886303538433,0.032822222222222225,0.8253333333333334
field__20dogs,fit-max,20,0.5207777777777778,0.37757594281494233,0.12444444444444443,1.0
field__20dogs,fit-min,20,0.0041111111111111105,0.010310608225284706,0.0,0.03333333333333333
field__20dogs,fit-std,20,0.10904419776461882,0.08008962970149476,0.023270508013575393,0.23520109599139957
field__20dogs,gen,20,100.0,0.0,100.0,100.0
field__20dogs,mrph-avg,10,0.5786441807702418,0.0753802867024651,0.4840811137909835,0.6818244440786881
field__20dogs,mrph-max,10,0.8151128881653,0.06655540491726027,0.7179486756640729,0.9296527413539106
