mode,environment,dogs,gen,cap-avg,cap-max,cap-min,cap-std,dog-avg,dog-max,dog-min,dog-std,fit-avg,fit-max,fit-min,fit-std,mrph-avg,mrph-max,mrph-min,mrph-std,pen-avg,pen-max,pen-min,pen-std,shp-avg,shp-max,shp-min,shp-std
evolving,field,15dogs,1,0.037249999999999964,0.16999999999999996,0.0,0.03947005645234963,0.637687319378993,0.7873929989626824,0.32144905012308006,0.08794057211332329,0.026074999999999952,0.11899999999999993,0.0,0.027629039516644728,0.49396379750965497,0.8396411570558507,0.1531973699588869,0.15123167737074492,0.49454446259177376,0.8100248837588998,0.12683551532388826,0.13043133185569158,0.3756178527984627,0.479148157464895,0.30186022591245787,0.03542929578235775
evolving,field,15dogs,2,0.04139999999999995,0.17999999999999997,0.0,0.04111077131525005,0.6281604291107772,0.783021935899873,0.30808516147437287,0.09541673011500437,0.02897999999999996,0.12599999999999995,0.0,0.028777539920675027,0.49638147556462114,0.8495875807121568,0.1541186788389184,0.15047394123759822,0.46610256549131723,0.7756836215576485,0.1159704547905102,0.13280545807008556,0.37646536875337266,0.4810180296747163,0.30275141066603795,0.03546200152723216
evolving,field,15dogs,3,0.04733333333333329,0.20333333333333328,0.0,0.04569861061242618,0.6123813939875153,0.7837140436458521,0.30573005117149143,0.10347992365741362,0.033133333333333286,0.14233333333333326,0.0,0.0319890274286983,0.5001906423909853,0.8336157837205734,0.16584672596915312,0.14317630471918524,0.42718602662953475,0.7271679174676839,0.1144751515271788,0.13219844044852821,0.3789817670325192,0.4748549947992761,0.3085612457748374,0.03505125613570094
evolving,field,15dogs,4,0.05611666666666661,0.21166666666666661,0.0,0.05068133927521738,0.5885068892805876,0.7727744288399314,0.3084685483996928,0.10884208827506611,0.03928166666666663,0.1481666666666666,0.0,0.035476937492652155,0.5080154372730318,0.8341157011466309,0.16108475445434994,0.14239859785931924,0.3916743530314092,0.6947166527123873,0.11559941665898019,0.1321969346482304,0.3829369829232586,0.4802379826241137,0.30751008718064254,0.03608351355777458
evolving,field,15dogs,5,0.061799999999999945,0.24166666666666664,0.0,0.05279961360016953,0.563728471980341,0.7743675307876853,0.3066904041778217,0.11070390212305985,0.043259999999999944,0.16916666666666663,0.0,0.03695972952011865,0.5150545350231066,0.8173974902457589,0.18095325686960115,0.1401386875661872,0.35153142061403597,0.6583064213024554,0.11496213401703873,0.1267793371838845,0.38616181099015706,0.47466144483525097,0.3071891732954553,0.03464926254448293
evolving,field,15dogs,6,0.07429999999999995,0.26666666666666666,0.0,0.05820977728847589,0.5458663165494264,0.7625955729901969,0.2966747572470955,0.10830740575004878,0.05200999999999996,0.1866666666666666,0.0,0.04074684410193312,0.5260993747363865,0.82223478848701,0.20815277249412137,0.13352632657603067,0.32090632433202027,0.6054686385058978,0.10977325600733104,0.11479379395638264,0.38860356594696144,0.47737447323651044,0.3081813007836166,0.03421421550528531
evolving,field,15dogs,7,0.08189999999999995,0.2716666666666666,0.0,0.05785829615056064,0.5246569897166619,0.7491700564675857,0.2972829344482837,0.1051339215786985,0.05732999999999996,0.1901666666666666,0.0,0.04050080730539242,0.5380273859342047,0.8343896125536346,0.22105784750037327,0.12964148234524644,0.2946456371826377,0.5679531625528048,0.10994421975969246,0.10550651723954751,0.3915517516414394,0.47879386956052883,0.3156188803712309,0.033328712759660095
evolving,field,15dogs,8,0.08783333333333329,0.25166666666666665,0.0,0.058247518976056165,0.515016633327733,0.7272279460695914,0.2973400805227195,0.0956576565572549,0.06148333333333329,0.1761666666666666,0.0,0.04077326328323928,0.5476242194339076,0.8344061074604963,0.2182883157032672,0.12635806378917863,0.2818201370421999,0.5292401360077439,0.10970707154386358,0.09274129968820782,0.3920424444621026,0.4723975891896791,0.3190016750586299,0.03160342938353234
evolving,field,15dogs,9,0.09253333333333327,0.2816666666666666,0.0,0.060084040818498816,0.508830736159169,0.7284283450918163,0.30780643601602986,0.09366003000728149,0.06477333333333328,0.19716666666666663,0.0,0.042058828572949146,0.5551319076404108,0.8358896689055115,0.23451353971446404,0.12916235858500597,0.275516476903385,0.5115079896551787,0.12068022587611109,0.09173289442499755,0.3931720722915117,0.47435271568186615,0.31950258131483983,0.03160820402722715
evolving,field,15dogs,10,0.09348333333333328,0.28833333333333333,0.0,0.06252258465579515,0.508207229167537,0.7281947822024735,0.32392181091983946,0.091883820226248,0.06543833333333329,0.20183333333333325,0.0,0.04376580925905656,0.5641267356418227,0.8402353676233373,0.2345337320356926,0.1243417433380648,0.2718965175224731,0.5226150986119232,0.12194926798009306,0.08874901386632221,0.39273938549537213,0.47614101986659046,0.3213660810835356,0.031083304034272154
