gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max
1,0.033666666666666664,0.04281614441098384,0.0,0.16666666666666666,0.5074163788545123,0.17277520506501082,0.044728552959860425,0.8655216243903773,0.5962497795184508,0.12858240791242692,0.1559258829128083,0.819108688713975,0.3860318222550644,0.03688251461695559,0.2846530111815267,0.47945640188506816
2,0.045,0.04579543888011362,0.0,0.19999999999999998,0.43019672156591326,0.15207677320454596,0.04680631093711237,0.7221807477556141,0.5816912312956745,0.15140803477585432,0.15749336075955583,0.8071434623020446,0.3844738931796693,0.04292982917556661,0.2856222260094028,0.48957270811664655
3,0.045,0.055851986933720135,0.0,0.39999999999999997,0.45657441718252706,0.1846994921262746,0.05344496011931612,0.8216550896973889,0.5624226845629288,0.139179794404558,0.17951271891436424,0.7791033685686996,0.3906168390704528,0.04032857935835534,0.3212018886940222,0.5009294508280814
4,0.047666666666666656,0.06737210105080589,0.0,0.4666666666666666,0.43278415966753814,0.17469163856160733,0.07516805295623401,0.8191215890586219,0.5498692812181819,0.12940620977863873,0.2137293449372798,0.7395242032060069,0.3914243803650435,0.037853933802436776,0.31115191650674895,0.4733920616839716
5,0.06799999999999999,0.07422488351848948,0.0,0.3333333333333333,0.406500412271962,0.1621212676651043,0.0330904633183088,0.7639526051325913,0.5654557537757912,0.12897712203189313,0.1281446364181315,0.7780483495369822,0.3873126725530602,0.03972080359881621,0.3020081042015204,0.4833975658200392
6,0.088,0.103442952608887,0.0,0.4000000000000001,0.38547130741252256,0.16855643612348642,0.03923247809827546,0.8108479322990908,0.557205663074891,0.12026232224637055,0.13112650138104578,0.7631509448746175,0.38441078652952493,0.0426614224886895,0.28672890760504055,0.510397410261992
7,0.11866666666666667,0.11297197292544141,0.0,0.4000000000000001,0.33449388142763614,0.16040584597216503,0.06688793021828969,0.8250432916503723,0.5474979291345035,0.09716595291098082,0.1894003254607172,0.7514686381778372,0.3746705117188244,0.04562516872067074,0.29440589076250273,0.5607395241865643
8,0.15833333333333333,0.14639178786925022,0.0,0.5,0.34361238066281324,0.1644795594377993,0.0702703320080129,0.8208201141853869,0.553311136460136,0.09664410089426372,0.17610483174555466,0.7597172032481767,0.36166676303019046,0.03684460964471705,0.2791435048648427,0.4515035228355766
9,0.19966666666666666,0.1289698500511737,0.0,0.5666666666666667,0.3067287334269453,0.1245204440521128,0.10991924092136411,0.7972901871412406,0.5610628837771834,0.06724606486406808,0.32364903036336834,0.7070732725920367,0.3576291064925169,0.0397119757775707,0.270034683323459,0.49103398877291565
10,0.23399999999999999,0.12480918769599188,0.0,0.6333333333333333,0.2950582546516783,0.1009103326506476,0.1435584756659085,0.7363147677490005,0.5832940446989167,0.0488783075925082,0.4044107701163322,0.7127675208003508,0.34955103331713294,0.0323698359104552,0.2909823721270522,0.4448888984648505
11,0.24133333333333337,0.12781236246936364,0.0,0.5333333333333333,0.28061589997315023,0.07996201046870324,0.14781061461498177,0.4957430628772024,0.575402175713624,0.057028464614788964,0.4170292644513884,0.6955786107998724,0.34580267515123597,0.03534100710390787,0.2742680644348825,0.436756863343569
12,0.27466666666666667,0.1260617132818508,0.0,0.6,0.2680018660065215,0.06929212329684449,0.1231798124331362,0.6500778064869512,0.5713733260805601,0.046024772650340065,0.44898386101759935,0.7037355448247137,0.3411442832584094,0.02808755434220505,0.2621629640799962,0.42581758053075996
13,0.286,0.11692162617183642,0.03333333333333333,0.5333333333333333,0.27666587724721553,0.06552542239491904,0.1301287735496161,0.45824384932479295,0.5746108234962678,0.055079708108429395,0.3207332014883872,0.6908754356964385,0.34249743760237167,0.032162094868707795,0.2864691724666448,0.4467066689186303
14,0.28733333333333333,0.1287357327585814,0.0,0.6,0.292204764193879,0.09096460398185521,0.12150415977062005,0.7524426965237567,0.5796524727263938,0.04984276493919348,0.4137759891443534,0.6788794704749853,0.34408468038279266,0.03521863862565413,0.27427233514823357,0.4382246968933599
