gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max,mrph-avg,mrph-std,mrph-min,mrph-max,cap-avg,cap-std,cap-min,cap-max
1,0.01804444444444444,0.019764739772423132,0.0,0.07777777777777777,0.4994845053902036,0.12415586931045514,0.1785146393034149,0.8193390652480009,0.7036206189055618,0.09207828159739984,0.3350195622688077,0.8284251335478974,0.3388784560864464,0.03468650490911344,0.25239818234193206,0.43854919307336243,0.5172614050487816,0.15322355696435244,0.1495956283105632,0.8419408493700561,0.025777777777777774,0.028235342532033053,0.0,0.11111111111111112
2,0.019599999999999996,0.020355798154789176,0.0,0.10888888888888888,0.4637112916596062,0.14346886133247105,0.12207206756965654,0.8407238056791154,0.6861504911506903,0.10318021390126086,0.2411907011441031,0.8238993281891901,0.3447501495384394,0.03304934966778464,0.2838751101669172,0.4462250198830511,0.5216961081115874,0.14204193947240015,0.24179144399036603,0.8170939750618386,0.027999999999999997,0.029079711649698827,0.0,0.15555555555555556
3,0.02426666666666667,0.023001191595541627,0.0,0.12444444444444443,0.427883818515972,0.14088262293062573,0.0833115658935542,0.8159643533383653,0.6569903939084634,0.11967200186813756,0.2743101890458796,0.828575384914079,0.34383395405668865,0.03492318538156659,0.270058102068524,0.4567966819156489,0.5405476130512025,0.16488172260323558,0.0836752110189506,0.8695362869686102,0.034666666666666665,0.03285884513648804,0.0,0.17777777777777778
4,0.028933333333333335,0.025084509016374875,0.0,0.09333333333333332,0.3937484742316254,0.12701728653228564,0.08433228241523237,0.6377649250903956,0.6505751117868015,0.12070212418649691,0.25685448031381025,0.8299542387824714,0.3451507663460261,0.03114053490267986,0.2877693042536653,0.4310236329617849,0.5508861348087039,0.14550109830030142,0.1685185185185185,0.9027777777777778,0.041333333333333326,0.03583501288053554,0.0,0.13333333333333333
5,0.030644444444444443,0.023015389376418293,0.0,0.10888888888888888,0.3633122346447852,0.1359887437187624,0.06858805848829096,0.6254607809844758,0.6230237345661489,0.15447484418025756,0.2543882362679692,0.8663101857886198,0.35380737470388135,0.037256828787002795,0.27852781022561063,0.46010953691508566,0.5400034556040739,0.14264488477263576,0.2524254054391145,0.8256394454475767,0.04377777777777776,0.032879127680597565,0.0,0.15555555555555556
6,0.03515555555555556,0.026998637368450398,0.0,0.10888888888888888,0.3486027873555147,0.11781277525341588,0.09193832661052843,0.5819288708729499,0.6119766001042819,0.13670736185159635,0.25027069275084385,0.8651167493732158,0.356190650852559,0.034244528694823556,0.28196003778086937,0.43319767409132814,0.5563756088866175,0.14866870924407838,0.24629629629629632,0.8804123153163811,0.05022222222222221,0.038569481954929145,0.0,0.15555555555555556
7,0.0395111111111111,0.030356856975518706,0.0,0.12444444444444443,0.3189780752418673,0.10817204549253877,0.08288941305229618,0.5846810093774846,0.5960739255503392,0.1277915614457852,0.2566393265154929,0.8192996040509617,0.3540513424499482,0.03305066426144216,0.30194111231207404,0.4383329848123004,0.6194745779620647,0.16151711175529063,0.18240740740740743,0.890082474027876,0.056444444444444436,0.0433669385364553,0.0,0.17777777777777778
8,0.04215555555555556,0.02945673538020225,0.0,0.10888888888888888,0.30679796897825146,0.0931697437130557,0.0966598570720274,0.45507489986050415,0.5991094020990176,0.10517006421058485,0.33501067496661024,0.7606270394672761,0.35432404634965087,0.029265620088786203,0.29966091286853497,0.427278761204731,0.6208769993179888,0.1645724840811901,0.23980399835886523,0.890082474027876,0.06022222222222222,0.04208105054314608,0.0,0.15555555555555556
9,0.047444444444444435,0.028375567650818424,0.0,0.13999999999999999,0.30440542109065755,0.08231488071827875,0.10759607364189712,0.48862988944108016,0.592957129752155,0.09400609113540692,0.3409661115712184,0.7446153527968461,0.3507273993908212,0.02981924119422717,0.275421040322121,0.43032596437325005,0.6284118471308004,0.17384915283641816,0.1738536229572539,0.9277777777777777,0.06777777777777777,0.04053652521545489,0.0,0.19999999999999998
10,0.0451111111111111,0.02513076909996102,0.0,0.13999999999999999,0.318034805596507,0.08333765735322765,0.10352675453236211,0.5022188467542488,0.5992974317950636,0.09223914710925964,0.3325078334799257,0.8352309765368924,0.35252171761321477,0.02965619993224647,0.2981479483594793,0.4365377750591711,0.635893546992563,0.15689944825253366,0.2695481225578375,0.9112961731857547,0.06444444444444444,0.03590109871423003,0.0,0.19999999999999998
