gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max
1,0.02644444444444444,0.022813251509691566,0.0,0.08888888888888889,0.5025597218129763,0.1700278594054261,0.06484606553752834,0.9422580034163408,0.6576059058211768,0.11995675867432715,0.2142608607138872,0.8592258393020843,0.34005566271309495,0.033947536841406986,0.25571387386274064,0.43663334802810433
2,0.029333333333333326,0.028437499152082473,0.0,0.13333333333333333,0.4656583510725578,0.1575814507577378,0.05899703817811178,0.8400698239135093,0.6510901686011816,0.1257622332601533,0.20484139994270245,0.878403920933854,0.3376032885349565,0.03516874607662223,0.2494793289970085,0.45097846036357825
3,0.035111111111111114,0.032535640476784346,0.0,0.15555555555555556,0.437423163833868,0.1724264923687477,0.09656005291655483,0.8017285350307515,0.6354852622174895,0.13447213289507973,0.2112778315141963,0.8565564022225747,0.3448001516232758,0.039984763424834334,0.2645378345514519,0.4342004191057997
4,0.0431111111111111,0.04095405435242321,0.0,0.15555555555555556,0.41351713923657685,0.17493706571146475,0.058229597094085296,0.8641690362711101,0.6105526839565573,0.1323044234897603,0.24851807949994464,0.824845930262045,0.3427220785461003,0.034917717027459334,0.26790061114167163,0.4250767287997657
5,0.03844444444444444,0.03821382336663391,0.0,0.15555555555555556,0.3913996361231994,0.1954192301781319,0.047677277685468915,0.8580502603185765,0.581735596942695,0.13672661307140058,0.17372784739676286,0.8042811879460459,0.3406342770462685,0.04101561362033622,0.26157344242218644,0.44224478310058285
6,0.03822222222222222,0.03282275633357646,0.0,0.15555555555555556,0.38865488685703203,0.1686993917017776,0.04732628651804891,0.8550277944977834,0.6080950545392525,0.1357862188639746,0.18769697590363507,0.833167146552559,0.3374256845019946,0.040307755147050615,0.24656038250717627,0.43816355853465966
7,0.03977777777777777,0.03418107194065665,0.0,0.17777777777777778,0.40367706434453315,0.18292780977342835,0.04437231854636453,0.8301762031166802,0.598857395971089,0.14546047557512606,0.1755539567375047,0.8433670165731436,0.3413583712550639,0.03998220488964629,0.25767116979085913,0.4424000364986713
8,0.04266666666666666,0.03700917470500631,0.0,0.1777777777777778,0.3927148833057758,0.17722961249203803,0.06383864674773879,0.8278847199543277,0.6008708687546414,0.15179396340695267,0.22559516109169717,0.8607644861057997,0.3453915584739528,0.04060617923271492,0.24855255656805844,0.44350904311654366
9,0.04955555555555555,0.04261281323559678,0.0,0.20000000000000004,0.3461748414377216,0.17505781236293202,0.04909287930940395,0.7435387243178931,0.5745905906704664,0.15490867977029316,0.17335919187720658,0.9073032663432987,0.34477965642270186,0.038125131285412596,0.2521543005571973,0.4324278495629499
10,0.042666666666666665,0.03819120188256149,0.0,0.20000000000000004,0.34649772597447426,0.18957793915766322,0.03868218457432606,0.8183753391386119,0.5571604392411377,0.15578882908618938,0.16757584243076706,0.7827599270851601,0.3474203106825196,0.04210897980025716,0.25120353386095856,0.43987796771512855
11,0.04066666666666666,0.03719219352578253,0.0,0.17777777777777778,0.36032164886823304,0.19899145052571937,0.034997573955382145,0.8515816143865832,0.5459062842058304,0.15623132714805452,0.1749009988235699,0.8327363387978775,0.3458347199200665,0.04197526835019349,0.2718511981126764,0.45227485092208397
12,0.038,0.03761993167536671,0.0,0.15555555555555556,0.35138656018125125,0.21779510010433042,0.033842835623231156,0.9638812548100253,0.5311676663007338,0.1791891864323543,0.14832650613677054,0.799824677536806,0.35863422565865816,0.039045762937566696,0.2895542727231308,0.4403136027112957
13,0.04666666666666666,0.04030746032714901,0.0,0.24444444444444446,0.3089589262601193,0.19034064332252174,0.02958504976661594,0.7298701966279634,0.5136659484745444,0.1919817239695781,0.12141854360842673,0.8236663844754296,0.3635000478913964,0.04491802612195045,0.2627987727266006,0.4575980042562064
14,0.04644444444444445,0.03824482535803591,0.0,0.17777777777777778,0.27756067398110523,0.1762339613965922,0.02608097041450674,0.6494249785141263,0.4990137578764967,0.18924901863730556,0.12298039665970434,0.8630102195109225,0.35586685716575006,0.04861037304292753,0.25383577599699825,0.4596051722350514
15,0.0531111111111111,0.04191643656515887,0.0,0.2222222222222222,0.2762153786824253,0.1765375328783627,0.03681902542832557,0.7856654765151898,0.4975675604277294,0.1765147058314322,0.15024463193491477,0.8321343795781228,0.35852244163209035,0.04282698949255375,0.27010490582924923,0.464367692737164
16,0.05333333333333332,0.04145501801372807,0.0,0.17777777777777778,0.2869735453159843,0.18335740035147063,0.034027344390562646,0.8514008331752517,0.5201116073657485,0.16964653356364306,0.13471417111785786,0.8183840532420134,0.3566643375659398,0.04075830014963326,0.25062720216923684,0.44375038133863215
17,0.048888888888888885,0.03810317377662721,0.0,0.17777777777777778,0.2907375841870747,0.19528111496360678,0.0332685220389069,0.8494862057060896,0.5243887914694263,0.17827819700982106,0.13227366181743153,0.8340660418774409,0.35116128382910305,0.043619989702887496,0.25471101313865147,0.45849244697143127
18,0.050444444444444445,0.04530881690012319,0.0,0.2222222222222222,0.3138253385764811,0.18258285585904555,0.03595548735390506,0.8490824377068639,0.5566491376439272,0.154625086475949,0.13731303641986023,0.8057614518626711,0.34660353444923897,0.046761431459483485,0.25574280570644686,0.4494252617725332
19,0.05799999999999999,0.047234116149188834,0.0,0.20000000000000004,0.31304342333759844,0.17751229592105255,0.029544537142534782,0.776222511213859,0.5676070166461212,0.16656463898305685,0.15238073002883287,0.8266456264562613,0.3444915379725535,0.04898517358945226,0.2319851058296852,0.4332749596490994
20,0.06444444444444444,0.05790584098131281,0.0,0.24444444444444446,0.31503381772141215,0.17831712878260841,0.036139361767515955,0.849807011956302,0.5696944163071808,0.15700905582475824,0.13937380969383129,0.802982406381267,0.34399137147021736,0.04719643733517491,0.24183395647890968,0.432058110664087
21,0.06777777777777778,0.05677549462684986,0.0,0.24444444444444446,0.28979664381679066,0.17881288904345774,0.037372370127837756,0.8622087294545516,0.5478889119693724,0.16350968775241012,0.13348324874067521,0.8445771404876234,0.34310500007457484,0.0522106923979668,0.2406430936115185,0.46114148531848165
22,0.07355555555555555,0.0710899274002849,0.0,0.3111111111111111,0.2973050035746547,0.1767177282096822,0.04266933061692313,0.8323374623377919,0.5717983824558257,0.12671212596183049,0.14088558217624078,0.8146787863971078,0.33749279412157596,0.04520645781256199,0.22713000467626784,0.4692401950018957
23,0.0911111111111111,0.07841012784167713,0.0,0.4000000000000001,0.3017417621156924,0.1567188395529209,0.04975780541365162,0.7260133857824361,0.5784538878686205,0.12902353514811002,0.21792777355179052,0.7958663324589373,0.33128925069168247,0.047300450164235674,0.23075665223292852,0.4428905980395716
24,0.122,0.09012994733942437,0.0,0.4222222222222222,0.3107904872632046,0.15792448896209685,0.05640985351367971,0.8191509538161125,0.5908593539123732,0.12966244644304525,0.2224712235108022,0.8132135435539433,0.318914654478204,0.05493176691672555,0.23096836586840142,0.45968765989740074
25,0.13888888888888887,0.09276946070505192,0.0,0.4666666666666666,0.30046246023885226,0.14963061124862032,0.04017952096409912,0.7033021667797058,0.5873348245910931,0.13262677767005498,0.2119524592890689,0.8382379021228162,0.30535623087016595,0.05629789979770218,0.21759875668655435,0.44900656025383784
26,0.14866666666666667,0.10651354750673332,0.0,0.4666666666666666,0.33522151008978185,0.1508423010322425,0.06996200116858615,0.7628526626374187,0.6068806264963683,0.11104035888176611,0.2515916472236493,0.7822337013693992,0.29512885851718407,0.0464166550825608,0.22288245529490766,0.4291290020819254
27,0.17644444444444443,0.1053539595369982,0.0,0.4000000000000001,0.30581719898545895,0.13873474031303296,0.046774514310827,0.7202647192773091,0.5934269883469703,0.09820303427045579,0.3541543366642889,0.7768131747625614,0.3002300336954399,0.04299158295235651,0.22850765927218997,0.42920064529343116
28,0.1953333333333333,0.11336796856385975,0.0,0.4666666666666666,0.2810541039176625,0.13518111612104572,0.038002975043060834,0.6679487945606585,0.5721519073543558,0.12019508664956746,0.1592852512262984,0.8057018659072761,0.304881636711186,0.042802974396498085,0.22496215493793337,0.43746847868391825
29,0.23711111111111105,0.11062359715229649,0.022222222222222223,0.5111111111111111,0.272927124493809,0.10765202926660661,0.04497424251270651,0.6833181434554157,0.5652411666297376,0.09517958615965823,0.20324461617116552,0.7477497791845269,0.2931557127475526,0.037354630926205404,0.22471576337417318,0.4461846219322763
30,0.25155555555555553,0.10322598964539699,0.044444444444444446,0.5111111111111112,0.2656278094092011,0.12092636183029565,0.05216150683183942,0.6787934294337158,0.55599799525055,0.107244005824658,0.1496480826836176,0.7739224616695944,0.2993248857481136,0.0351451293743896,0.23942139958969869,0.42035721490104355
31,0.24311111111111106,0.10758034608699459,0.0,0.5777777777777778,0.25217472088050163,0.11470539135779763,0.05056716470718035,0.6417474058743262,0.543098437787016,0.1109475092706192,0.19674732397585326,0.766166522937124,0.30521994820647985,0.04115341546725918,0.22739903300959793,0.42502294065672563
32,0.2613333333333333,0.10583565176813146,0.044444444444444446,0.48888888888888893,0.25100718562275076,0.12805962660773534,0.05323822931252987,0.7474197145548679,0.549450378858907,0.1086721291027234,0.2849869699650556,0.7547903651761283,0.3019192071490597,0.03849465989834851,0.2124418589841187,0.4208212253201962
33,0.25644444444444436,0.12278335834476818,0.0,0.5777777777777778,0.24731567442421895,0.13185642625080646,0.04384944162154757,0.7196025483690361,0.5430794428069039,0.10809261483529473,0.2346399075773585,0.7331957102203335,0.30416235296995464,0.03947949586035751,0.23738639829643504,0.4250116930847958
34,0.2782222222222222,0.11311438545795519,0.022222222222222223,0.5555555555555556,0.20761561915339385,0.10304631237420094,0.04704902132022242,0.6582607962058066,0.5127101566175724,0.11029958745004319,0.15991720509570986,0.7507179536448668,0.308472170760566,0.04648923741112995,0.2151933361695063,0.4648528954112476
35,0.27422222222222215,0.11552221741314257,0.0,0.5111111111111111,0.2218300881068792,0.11402708508085087,0.04412576072051155,0.7082398747141886,0.5298661230736665,0.09562326132836825,0.24188957953166676,0.7732907052961177,0.30367888214538585,0.03841052528553552,0.22343384726647744,0.4099721237554324
36,0.2904444444444444,0.11257940955960873,0.044444444444444446,0.5555555555555556,0.21614907172575087,0.09737814954581032,0.05801200643841809,0.7490963135251225,0.537862421806824,0.08829007657953247,0.22528394491834802,0.7603660826120203,0.3007612442429373,0.03503873114457727,0.23953282150139674,0.4270578771907454
37,0.33111111111111113,0.1363546573923773,0.0,0.6888888888888888,0.2195219676307556,0.09210850209221555,0.07159869470666547,0.610851306091264,0.5585084313276996,0.07837293882859796,0.26107147464069064,0.7797048731590076,0.29590949425487567,0.03553845310354312,0.21969560471858984,0.4290904713890069
38,0.30333333333333323,0.1223786877273839,0.06666666666666667,0.5777777777777778,0.22197758769055587,0.09917735132499256,0.04063936724456125,0.6081373495229275,0.5594216783634804,0.09649020886309274,0.23858175709703025,0.7428649451082109,0.2970463882823899,0.042529201706388874,0.21193842620897832,0.4210323228458148
39,0.2793333333333333,0.1482492062727279,0.0,0.6,0.229639967438049,0.127973755236298,0.0527349370796912,0.7135004258805013,0.545467061184103,0.11524354017518591,0.20214555084640404,0.7827684428913096,0.3055847095628469,0.04442740128764125,0.2264239791555217,0.4474733304372745
40,0.31911111111111107,0.1335376212769132,0.0,0.5777777777777778,0.22391453762332225,0.10680478185562586,0.04018647255302935,0.7624257901409136,0.5580585985912446,0.09773405386327885,0.2557268787754721,0.7271946244686444,0.29291422732635597,0.039150352464220245,0.23278969617340486,0.41941165849178724
41,0.3073333333333333,0.15205765638137902,0.0,0.6222222222222222,0.23654961409480513,0.12888409601389206,0.06416807662824177,0.8027652610344559,0.565889988894548,0.09825326898686985,0.217165877360849,0.7714930551613897,0.30108297613219953,0.0429510567308858,0.22775788026256724,0.4387205797671893
42,0.3453333333333333,0.1306175266631739,0.022222222222222223,0.5777777777777778,0.22670358846426797,0.11122313428329397,0.04562091879583693,0.7460680252468493,0.5746088256417355,0.08168378209973823,0.2566414493180809,0.801183387560174,0.29374472246868394,0.028566337462688843,0.2447092277275491,0.3979646257669704
43,0.3108888888888888,0.1531720568914111,0.0,0.5555555555555555,0.24283866024662784,0.12534385492276492,0.03944673072718367,0.680157780719203,0.5729561252048441,0.10713100320107609,0.16280156838723545,0.7807955803950263,0.2979579895839948,0.043278030704984156,0.23937760808695185,0.45216046598980036
44,0.35800000000000004,0.1294583206677866,0.0,0.6222222222222222,0.22365428547293573,0.07284712398151608,0.051542402706309,0.6344810329144864,0.5791673494588173,0.07871871171386445,0.2750638907085356,0.6803281493076683,0.29467637383482065,0.03577942715924977,0.23554885894741875,0.441885156897184
45,0.32955555555555555,0.15012932696450354,0.0,0.6444444444444444,0.23543068838901743,0.10796084065160376,0.054587128531308454,0.7300483044758862,0.5780501928538415,0.10955935151104997,0.2515301119528343,0.8379297187343239,0.2949214693535144,0.04111333144771484,0.2283227443164423,0.44667284136731306
46,0.31822222222222224,0.1331806533237958,0.022222222222222223,0.6,0.2297315539420255,0.09113194090946329,0.04272857685672826,0.6907520006608313,0.5702306046041167,0.10200222840586139,0.2686886669616462,0.739171722272539,0.29663560220876095,0.0387978442376705,0.2365481880335183,0.4315318747231663
47,0.3562222222222223,0.12450216915161273,0.022222222222222223,0.6000000000000001,0.23789848571518427,0.0665776957733955,0.060900234054991786,0.6180768110638132,0.6057455662285173,0.06379150500275708,0.2109321144967882,0.7503640156795749,0.2908715101046528,0.031210792508503633,0.2443955282060879,0.4328791348293824
48,0.3455555555555556,0.11659256906207113,0.022222222222222223,0.6,0.24276563411452834,0.09270573470886138,0.04943826954681959,0.7549785122574878,0.6062499800685913,0.08065096124488698,0.2709367581116351,0.8216930479090725,0.287115736731213,0.03179720779922213,0.22958937800754428,0.41428009047294023
49,0.3315555555555556,0.1287999693275019,0.0,0.5777777777777778,0.24008602423731001,0.0807662279538939,0.08716969919339261,0.6790508588574218,0.6021136403800396,0.06811551443974538,0.28268172946471387,0.7495960540657075,0.2915517592169811,0.03553141519540813,0.20073485868143562,0.4313229960748757
