gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max,mrph-avg,mrph-std,mrph-min,mrph-max,cap-avg,cap-std,cap-min,cap-max
1,0.02131111111111111,0.022612342308822364,0.0,0.09333333333333332,0.4845362865639478,0.1290802780130401,0.2112331049583193,0.8534706141878411,0.7142458645682539,0.08325129283707676,0.44623615944389855,0.8824548808688609,0.3384681314530691,0.03155415462018644,0.27587631716223554,0.44914086479978454,0.508513759388683,0.1364605708953501,0.15383195513919437,0.8224829055599573,0.030444444444444444,0.03230334615546053,0.0,0.13333333333333333
2,0.024733333333333326,0.02380508297210161,0.0,0.10888888888888888,0.4524550914233979,0.11205493735680662,0.22510791774224295,0.8036814291007689,0.7053695887486225,0.07890886377554722,0.5114330346435879,0.8793301905654665,0.3307131915036976,0.03573663783072622,0.26499956710054334,0.45506957016565064,0.5198203111486968,0.12694979214859933,0.22609180497603618,0.7987340624676932,0.035333333333333335,0.034007261388716584,0.0,0.15555555555555556
3,0.02628888888888889,0.02386599419702321,0.0,0.12444444444444443,0.4328244185823768,0.09971763924386755,0.10491629491115018,0.6603263713873646,0.6978114801338023,0.0917907651919876,0.2795269988146595,0.8542435463039357,0.3313963922138885,0.0385749422956909,0.22739899626337992,0.43612006880585014,0.49248823661997704,0.128383958754415,0.2077773133809707,0.759654811429373,0.03755555555555556,0.03409427742431888,0.0,0.17777777777777778
4,0.027844444444444446,0.02482025258275195,0.0,0.10888888888888888,0.4238167648023915,0.10679996372349755,0.10893372454729512,0.7142890878097962,0.7068021126271868,0.08856041946103095,0.28301913796497963,0.8678865491880291,0.32803245697545647,0.034809623735574856,0.2413971370392117,0.41307718115555686,0.4915863729596646,0.12660634422860606,0.1576082342160953,0.759654811429373,0.03977777777777777,0.03545750368964565,0.0,0.15555555555555556
5,0.028777777777777777,0.02521487900936251,0.0,0.13999999999999999,0.4160496583202957,0.08486810525890714,0.20871814711730108,0.6757562180957234,0.7103048386017798,0.06807853298613213,0.5437403775464361,0.8687432416308486,0.3311264189480956,0.033758559926634304,0.2600993036403365,0.41714346290478527,0.46290399503727564,0.12548397768442748,0.1434504584079,0.7734126241742993,0.041111111111111105,0.03602125572766073,0.0,0.19999999999999998
6,0.028466666666666668,0.024304031063301527,0.0,0.12444444444444443,0.40797897663322197,0.1050227575517825,0.2338289241717805,0.700387903331183,0.7036240398926742,0.08068014205136063,0.5010490974111858,0.8697272823348055,0.3278019207047263,0.033203558077622854,0.2546964904496252,0.4029808694013181,0.4921625129892751,0.12874995386143454,0.16042652987014577,0.8039681797298549,0.04066666666666666,0.03472004437614506,0.0,0.17777777777777778
7,0.03111111111111111,0.024985921962102906,0.0,0.10888888888888888,0.42214608805623866,0.09954368995924631,0.22759872084025243,0.7306669519249258,0.696574752017183,0.06904739033325631,0.5050160728714282,0.8343389741290914,0.3287661890243314,0.04117970526687293,0.23548885664068994,0.4192105557883164,0.505822835360389,0.1237706079282923,0.1289450483886643,0.7625200263537671,0.04444444444444444,0.03569417423157558,0.0,0.15555555555555556
8,0.035,0.02837556765081842,0.0,0.12444444444444443,0.39409412122470444,0.10516483935957001,0.18439323549140685,0.684834412642284,0.6831625854735404,0.08032488644068903,0.47980026486238847,0.8188573846505164,0.3258479558824079,0.04207238269955417,0.19975707938578147,0.4085294455071737,0.5353306041828311,0.12632102323775682,0.20239860678386343,0.8312773850351967,0.05,0.04053652521545489,0.0,0.17777777777777778
9,0.035,0.026249279825511874,0.0,0.12444444444444443,0.3768750826278671,0.09522056615088365,0.187382086499264,0.7070843534601363,0.6863582720354929,0.08376503706963144,0.47160465109840827,0.82169050966382,0.3277656431619992,0.03783912783369623,0.23567056278603835,0.41318348328109566,0.5443624823380738,0.12418415790562258,0.2956295006606599,0.816223730057471,0.04999999999999999,0.037498971179302676,0.0,0.1777777777777778
10,0.0374888888888889,0.021676988994135043,0.0,0.09333333333333332,0.3815638969962041,0.06944566893686893,0.22612133613104188,0.5375025124594477,0.6987211817518549,0.07681069782232451,0.49956417746867854,0.813288879618809,0.32139755042318535,0.041338849008094765,0.2138124053098227,0.4188770805298523,0.544174702544729,0.13816970349578098,0.17748551851460914,0.816223730057471,0.053555555555555544,0.030967127134478634,0.0,0.13333333333333333
11,0.03919999999999999,0.027781368656789464,0.0,0.15555555555555553,0.3860156445634786,0.07656952490852355,0.20191109933989929,0.5444245807704472,0.7019962798606388,0.08331409488473218,0.5010382561861878,0.8424230661375658,0.32222636735072335,0.039441141208551106,0.22953422973518667,0.4186848495407774,0.5320408931013771,0.12931057415132685,0.12870370370370368,0.7925925925925926,0.055999999999999994,0.03968766950969924,0.0,0.22222222222222224
12,0.044333333333333336,0.030273445153822208,0.0,0.13999999999999999,0.3874384297695159,0.08124232086252138,0.2142199743892185,0.5987809152314223,0.6969275699030689,0.08247885534818572,0.506992127581051,0.8368466879272999,0.3165763082928793,0.04061593229001248,0.22415660750157226,0.40638764793714915,0.5282560091255956,0.13732289028988467,0.1775070527069793,0.8228718883698461,0.06333333333333332,0.043247778791174585,0.0,0.20000000000000004
13,0.04122222222222223,0.029215884399322357,0.0,0.15555555555555553,0.3884829092240596,0.0719628326939503,0.20084745413398533,0.5784347869108926,0.7136898166856536,0.07593814979115322,0.49398928459037555,0.8244302103527167,0.31667416903594325,0.03938038423789477,0.21994598004038882,0.42692861025802054,0.5391785841401159,0.12919043133656913,0.16072733815653487,0.8228718883698461,0.05888888888888887,0.04173697771331767,0.0,0.22222222222222224
14,0.04728888888888888,0.0347777138799555,0.0,0.21777777777777776,0.3911822849889959,0.05779849962366231,0.242489889134427,0.5068940156255012,0.7199593467869879,0.07202884902606677,0.5355635408291073,0.8665326278336387,0.3179345181166618,0.03327312017513634,0.24774738414133068,0.40647750968385904,0.5255144418531338,0.12503969618002786,0.25103490154604274,0.7784655824020471,0.06755555555555555,0.049682448399936435,0.0,0.3111111111111111
15,0.04759999999999999,0.02875212069473214,0.0,0.13999999999999999,0.40290686352850896,0.05159442620241463,0.21721338182190805,0.5125239171960866,0.7306951578430507,0.06200069148159753,0.5168881895407581,0.8409115275691236,0.3140763828334384,0.028920244654599758,0.2160759398868958,0.3863666266668424,0.5338868886276404,0.11971915508690822,0.2601851851851852,0.7999999999999999,0.068,0.041074458135331636,0.0,0.20000000000000004
16,0.04619999999999999,0.02671346818958649,0.0,0.12444444444444443,0.4076909958223075,0.05316130228544684,0.19401880440648386,0.5410028445303834,0.7364231104321791,0.05758662154839836,0.5228097931278665,0.8415961804808493,0.31409147480244787,0.02996930574100622,0.24546908082526844,0.4288829768098968,0.5364932529303881,0.12172099211530464,0.2925124024961607,0.7626001195188925,0.06599999999999999,0.03816209741369499,0.0,0.1777777777777778
17,0.044333333333333336,0.02970866772966443,0.0,0.13999999999999999,0.4087626332978152,0.04445692202909169,0.26538427393876424,0.5041223895816563,0.7354830294190752,0.051181894908308,0.5199201286050799,0.8319522749568035,0.3030127740134783,0.029613422691738556,0.209016122673645,0.40095862018104195,0.5457354472212645,0.14943797729627248,0.14408177564903638,0.8079704898892629,0.06333333333333332,0.04244095389952062,0.0,0.19999999999999998
18,0.0462,0.03176191523285803,0.0,0.13999999999999999,0.4080270649201396,0.04914962121491981,0.22553612860965347,0.5235271385210344,0.7422271734396558,0.04972022647730851,0.5070150192469888,0.8402710966804546,0.3102079371992361,0.027659010860216222,0.2423195591037952,0.4166482816953987,0.5423752901149593,0.141400550338062,0.1237911805195772,0.8470114843609048,0.066,0.04537416461836863,0.0,0.19999999999999998
19,0.04355555555555556,0.030719760801537887,0.0,0.13999999999999999,0.41281662768641575,0.05034689666889013,0.274589704699244,0.5836129693768598,0.744397198193489,0.04053196946547792,0.5810698228563432,0.8767248874821854,0.31256331983285035,0.02329451697598771,0.25264879303025806,0.36701199944006185,0.5465298921506669,0.13000676422253604,0.26526224236098866,0.8470114843609048,0.062222222222222213,0.04388537257362555,0.0,0.19999999999999998
20,0.04775555555555555,0.030103516877518836,0.0,0.12444444444444443,0.40626913219906746,0.03305880982248401,0.3317956158467014,0.5100074843592625,0.7429750508697631,0.0328529051768464,0.6375788794352885,0.8030844103533719,0.30869293774970075,0.025065745555226563,0.2604783768648877,0.3739073518582628,0.5224304472496296,0.13142980878824465,0.13403302307835288,0.7283677079248987,0.06822222222222223,0.043005024110741204,0.0,0.17777777777777778
21,0.04402222222222222,0.028262779257497386,0.0,0.12444444444444443,0.4052881149398354,0.03138617486838797,0.31800082252131756,0.47584817519987693,0.746799504716631,0.034792995155011226,0.6569641155699582,0.8303470587323836,0.31208744780974845,0.02148908240615403,0.2609287114951448,0.3714083985290928,0.5454288231356926,0.11255010682474353,0.29741713451912394,0.750055022060824,0.06288888888888888,0.040375398939281985,0.0,0.17777777777777778
