gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max,mrph-avg,mrph-std,mrph-min,mrph-max,cap-avg,cap-std,cap-min,cap-max
1,0.02263333333333333,0.02457322391004756,0.0,0.09333333333333332,0.5246376416342283,0.12644231349697282,0.1539295978917977,0.7823627278002006,0.6492594161947628,0.07514128214542416,0.42961056765721795,0.807605018458124,0.3729604981063048,0.037130144237714574,0.27424887528854996,0.4811063682141496,0.49993485402629056,0.15561440092830245,0.21572822753379559,0.7897536279534917,0.03233333333333333,0.03510460558578224,0.0,0.13333333333333333
2,0.0273,0.027421382573134822,0.0,0.11666666666666665,0.47706936678273293,0.13821808450545714,0.15115513847441278,0.7784703120756665,0.6416297375351513,0.0792030305273683,0.43528312045838174,0.7759924049065225,0.37607147659680706,0.03892714544080739,0.3065291785970468,0.5330279011269009,0.5141752620614539,0.14313196886412483,0.20336724380661922,0.8302189942579133,0.03899999999999999,0.039173403675906895,0.0,0.16666666666666666
3,0.02543333333333333,0.02641823864933718,0.0,0.13999999999999999,0.4513395769440684,0.13772661737424702,0.12763573735346176,0.7398388988106536,0.6434621880709974,0.08856550002689303,0.40136834539526745,0.8344775306213322,0.3758251213980274,0.0363335781709258,0.3058366148646108,0.48669909642824405,0.5217218154712604,0.14109034874209173,0.20623573161137929,0.8302189942579133,0.03633333333333333,0.037740340927624565,0.0,0.20000000000000004
4,0.03406666666666666,0.036955168034314825,0.0,0.16333333333333333,0.4225175193650545,0.140754291387567,0.1142791217177581,0.8342356094133122,0.6314951394761832,0.09709156119114587,0.3869914508043985,0.8393827708926033,0.3794336253875069,0.03440303678007885,0.30511581370572904,0.4549233472340837,0.5199184366617202,0.13768129368167054,0.22384081171392467,0.8228421674726581,0.048666666666666664,0.05279309719187832,0.0,0.2333333333333333
5,0.03359999999999999,0.031011395754894144,0.0,0.13999999999999999,0.3724122741758805,0.14844177258462984,0.10755850196184528,0.5732723560752224,0.6008695233620176,0.12117225122199296,0.32147908758520277,0.7776503667788512,0.38612262939937997,0.034633266961428884,0.2963135955880817,0.4632108100298901,0.5004715444692237,0.159028183944301,0.06116972576303494,0.8970929030561328,0.048,0.04430199393556307,0.0,0.20000000000000004
6,0.037566666666666665,0.03347255924219452,0.0,0.13999999999999999,0.34526531751521156,0.14942499110869792,0.11792780989067815,0.5777067171169388,0.5767882613511258,0.11194766444349953,0.3670357785276008,0.7726388573206043,0.38790269379422937,0.03281576947903258,0.2996312809761727,0.4720862699220316,0.5184061144200607,0.14840643483991955,0.16924990245606983,0.8536751970476996,0.05366666666666666,0.0478179417745636,0.0,0.19999999999999998
7,0.043866666666666665,0.036039237875774593,0.0,0.1633333333333333,0.2899009409976584,0.13928639557439446,0.11611695488915087,0.559597184947391,0.5453855531346877,0.12014910471212656,0.3326909384022268,0.8035867897895606,0.39386526369844843,0.03353419424963309,0.31103686898160543,0.4814372651122909,0.519247699769408,0.14542712618254225,0.14811038553910072,0.8116581441325418,0.06266666666666666,0.05148462553682086,0.0,0.23333333333333336
8,0.047833333333333325,0.03923540068186721,0.0,0.16333333333333333,0.23770022229946136,0.10785815283745537,0.11669929278591183,0.5832914661671288,0.5057810889458135,0.0951622118350085,0.31062781163726083,0.7547503627954825,0.40433116479763825,0.030700850258213883,0.3443373507827976,0.4960566096966661,0.5104003670342458,0.1471850013420159,0.14811038553910072,0.8637714966738247,0.06833333333333333,0.05605057240266746,0.0,0.2333333333333333
9,0.05086666666666666,0.03650455070566165,0.0,0.1633333333333333,0.21486777812872127,0.09352503169048794,0.11956614377439743,0.5595118489688589,0.49293783748455255,0.08610344804893358,0.3689463460960973,0.7650280505153,0.4086189068560833,0.026262913054888003,0.32325431992796866,0.4689590497830814,0.4687974276131593,0.1185264698450845,0.170490646971482,0.8029510814575547,0.07266666666666667,0.0521493581509452,0.0,0.23333333333333336
10,0.0518,0.03562901439370259,0.0,0.18666666666666665,0.2069439585590014,0.0909371242414885,0.12102275178668058,0.5934235306889658,0.4853056777677514,0.09664462892143956,0.34461902096724956,0.8322240074038895,0.40917451590990844,0.03143273431186509,0.3226046962215055,0.5249279307356708,0.477040951784256,0.10697455476370099,0.15601802682469335,0.8009469438734573,0.074,0.0508985919910037,0.0,0.26666666666666666
11,0.05413333333333333,0.036429902247710984,0.0,0.16333333333333333,0.21633127271044508,0.10001724911669853,0.1236576096040044,0.561711632519461,0.49080339996054934,0.09503682207127688,0.3202443140168421,0.7890883078360541,0.40562513628166885,0.028592718475378046,0.32126448771891325,0.47830134558134135,0.4771085259600199,0.11761856456720444,0.16563305662738367,0.7699050045233499,0.07733333333333332,0.05204271749672997,0.0,0.2333333333333333
12,0.04783333333333333,0.03419348540942331,0.0,0.16333333333333333,0.2278719987380638,0.1150308042374634,0.10725123439116509,0.5365359749681555,0.4996087349866263,0.11266728045489208,0.3498930353454635,0.7997295176289282,0.40215687023764213,0.0306894052924365,0.3259529541944226,0.46702538180681374,0.4973973742116031,0.13049389319647767,0.18345253885080767,0.7790367202877357,0.06833333333333332,0.04884783629917615,0.0,0.2333333333333333
13,0.044566666666666664,0.03462386781141329,0.0,0.13999999999999999,0.20080854739393544,0.0845562779961833,0.10663365291024761,0.5512740954912402,0.47214705348201463,0.07191809759110482,0.2999433982213679,0.7631413762502444,0.4067645380400758,0.02621734555869721,0.3145723112243178,0.4538563081388811,0.4782980955267297,0.12839035292525536,0.18097719372536067,0.7790367202877357,0.06366666666666666,0.049462668302019,0.0,0.20000000000000004
14,0.048999999999999995,0.03308070938376825,0.0,0.16333333333333333,0.1883376858090346,0.059862944200313274,0.11649277254269123,0.5329085746641564,0.4583437479908101,0.05913570011983545,0.3222698288790385,0.694875824619511,0.4133173419080809,0.022558459015170083,0.32575787283317503,0.4803300500259013,0.5020469959957353,0.11354170813502575,0.24496690928399892,0.7699050045233499,0.06999999999999998,0.04725815626252608,0.0,0.2333333333333333
15,0.0567,0.040717168096243844,0.0,0.18666666666666665,0.17994172828172858,0.029843504825712498,0.10894262713091718,0.31598131198750345,0.45354810475138707,0.048445899363649195,0.2987605257947205,0.6405530155155991,0.4060227142953262,0.022659923450797544,0.35355980423323635,0.47152442425013524,0.501739605342221,0.1199279327408349,0.2535142364695648,0.7699050045233499,0.081,0.05816738299463406,0.0,0.26666666666666666
16,0.05039999999999999,0.027945502520282415,0.0,0.11666666666666665,0.18470470552314946,0.04066784645456919,0.09956922227012854,0.3034624797068232,0.45992588470713314,0.06064242171348482,0.28034286118369245,0.6579048619642095,0.41215989392349445,0.02663657347006354,0.3292959002124089,0.46997756871641094,0.5114032683682513,0.12919329556040288,0.19089582399047592,0.7699050045233499,0.072,0.03992214645754632,0.0,0.16666666666666666
17,0.05506666666666666,0.035312824236466214,0.0,0.16333333333333333,0.1982240246605049,0.07079149889359852,0.11051925262148832,0.5122451488328914,0.4702182559622704,0.06879183768291212,0.36187624206899716,0.7416049878302404,0.410794836372064,0.02759167915832371,0.32805277943691585,0.5041140079348723,0.49573458467168036,0.12871615813186657,0.25143230782327064,0.7541642637826093,0.07866666666666666,0.0504468917663803,0.0,0.2333333333333333
18,0.05833333333333334,0.03069020835525378,0.0,0.13999999999999999,0.19114796941800408,0.06000135625342348,0.11975428090211464,0.5241684820876706,0.46375424823272593,0.058277512036987514,0.37175204725036975,0.717874365864672,0.4095666308222908,0.024393393390498477,0.35500230738270383,0.47264748004167706,0.4742976646454817,0.11544176557767949,0.17425072604502592,0.7378169318793412,0.08333333333333331,0.04384315479321969,0.0,0.20000000000000004
19,0.05366666666666667,0.03405387887842832,0.0,0.16333333333333333,0.18645858536403037,0.03957070095247316,0.1021723804765603,0.32328144511935425,0.46102280938857854,0.06107230353622898,0.33287665414669004,0.6820309175265553,0.41188071221448086,0.02457333743967608,0.34546671139390606,0.46859192074102624,0.4930583603432352,0.12461034354677282,0.23696677125475793,0.765594709657119,0.07666666666666666,0.04864839839775474,0.0,0.2333333333333333
20,0.05483333333333333,0.035750291374103974,0.0,0.2333333333333333,0.19095249589916047,0.052586679332569476,0.11011606628544962,0.5204517011367303,0.46468613787207486,0.05995691299214899,0.3006851857924875,0.6683699420178156,0.41068259267859736,0.023589570819280634,0.3404366842777348,0.47113959773039743,0.5171415452350309,0.1360404216420731,0.14647294826724813,0.8111111111111112,0.07833333333333332,0.051071844820148544,0.0,0.3333333333333333
