### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,46,216,-1.29357,0,255,0,0,100,1,1
1,557,254,177.008,0,255,0,0,100,1,1
2,410,71,173.702,0,255,0,0,100,1,1
3,118,521,-92.8481,0,255,0,0,100,1,1
4,277,141,100.75,0,255,0,0,100,1,1
5,259,190,-45.3079,0,255,0,0,100,1,1
6,390,553,85.1758,0,255,0,0,100,1,1
7,75,101,-40.1965,0,255,0,0,100,1,1
8,121,27,-59.6641,0,255,0,0,100,1,1
9,168,433,-72.5981,0,255,0,0,100,1,1
10,336,447,125.532,0,255,0,0,100,1,1
11,48,372,-157.371,0,255,0,0,100,1,1
12,465,433,88.0758,0,255,0,0,100,1,1
13,296,463,-28.2552,0,255,0,0,100,1,1
14,121,556,22.3638,0,255,0,0,100,1,1
15,413,245,152.025,0,255,0,0,100,1,1
16,115,531,-60.2669,0,255,0,0,100,1,1
17,176,89,-14.123,0,255,0,0,100,1,1
18,574,262,24.586,0,255,0,0,100,1,1
19,506,574,-125.93,0,255,0,0,100,1,1
20,233,143,21.0717,0,0,255,0,100,1,1
21,37,505,174.12,0,0,255,0,100,1,1
22,432,272,-135.798,0,0,255,0,100,1,1
23,449,106,171.865,0,0,255,0,100,1,1
24,453,274,168.368,0,0,255,0,100,1,1
25,127,438,114.715,0,0,255,0,100,1,1
26,331,524,129.001,0,0,255,0,100,1,1
27,189,145,-27.8227,0,0,255,0,100,1,1
28,207,224,-15.7983,0,0,255,0,100,1,1
29,470,80,23.3586,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
