### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,406,369,88.6183,0,255,0,0,100,1,1
1,315,167,150.248,0,255,0,0,100,1,1
2,465,187,156.53,0,255,0,0,100,1,1
3,34,399,144.798,0,255,0,0,100,1,1
4,469,317,-28.3422,0,255,0,0,100,1,1
5,41,537,60.6553,0,255,0,0,100,1,1
6,49,230,36.877,0,255,0,0,100,1,1
7,276,471,43.8154,0,255,0,0,100,1,1
8,65,543,39.1034,0,255,0,0,100,1,1
9,80,41,43.2801,0,255,0,0,100,1,1
10,324,463,164.482,0,255,0,0,100,1,1
11,81,298,159.616,0,255,0,0,100,1,1
12,113,64,-134.592,0,255,0,0,100,1,1
13,245,19,-168.878,0,255,0,0,100,1,1
14,429,479,137.843,0,255,0,0,100,1,1
15,523,365,65.1285,0,255,0,0,100,1,1
16,264,68,-4.56837,0,255,0,0,100,1,1
17,361,97,-151.184,0,255,0,0,100,1,1
18,462,164,89.8592,0,255,0,0,100,1,1
19,41,218,-36.8378,0,255,0,0,100,1,1
20,439,349,7.96779,0,0,255,0,100,1,1
21,432,30,-143.077,0,0,255,0,100,1,1
22,506,299,162.083,0,0,255,0,100,1,1
23,391,34,6.37408,0,0,255,0,100,1,1
24,21,86,-119.21,0,0,255,0,100,1,1
25,360,129,-174.453,0,0,255,0,100,1,1
26,124,123,106.032,0,0,255,0,100,1,1
27,102,402,68.3711,0,0,255,0,100,1,1
28,228,398,-136.431,0,0,255,0,100,1,1
29,296,488,176.175,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
