### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,187,166,-8.70177,0,255,0,0,100,1,1
1,505,208,-47.6941,0,255,0,0,100,1,1
2,71,254,50.4243,0,255,0,0,100,1,1
3,425,262,-94.3508,0,255,0,0,100,1,1
4,552,148,148.416,0,255,0,0,100,1,1
5,65,258,155.818,0,255,0,0,100,1,1
6,490,31,2.49203,0,255,0,0,100,1,1
7,269,570,-31.6331,0,255,0,0,100,1,1
8,235,453,-72.7032,0,255,0,0,100,1,1
9,549,577,-132.505,0,255,0,0,100,1,1
10,86,429,-51.5851,0,255,0,0,100,1,1
11,202,79,-117.149,0,255,0,0,100,1,1
12,150,348,-170.516,0,255,0,0,100,1,1
13,25,457,-2.90428,0,255,0,0,100,1,1
14,538,479,-51.1745,0,255,0,0,100,1,1
15,164,353,-161.693,0,255,0,0,100,1,1
16,63,229,-22.2005,0,255,0,0,100,1,1
17,177,150,-169.639,0,255,0,0,100,1,1
18,381,517,-53.042,0,255,0,0,100,1,1
19,410,267,-27.5981,0,255,0,0,100,1,1
20,25,423,-100.7,0,0,255,0,100,1,1
21,55,438,-124.972,0,0,255,0,100,1,1
22,489,113,-54.6913,0,0,255,0,100,1,1
23,556,398,54.4822,0,0,255,0,100,1,1
24,146,368,78.4174,0,0,255,0,100,1,1
25,47,340,-78.3731,0,0,255,0,100,1,1
26,210,398,-176.376,0,0,255,0,100,1,1
27,551,167,95.9277,0,0,255,0,100,1,1
28,120,256,-109.203,0,0,255,0,100,1,1
29,546,25,129.017,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
