### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,428,407,-2.25001,0,255,0,0,100,1,1
1,465,502,35.2169,0,255,0,0,100,1,1
2,401,414,58.6774,0,255,0,0,100,1,1
3,63,323,26.301,0,255,0,0,100,1,1
4,166,400,88.3386,0,255,0,0,100,1,1
5,305,568,119.98,0,255,0,0,100,1,1
6,539,126,164.079,0,255,0,0,100,1,1
7,208,491,21.6465,0,255,0,0,100,1,1
8,20,474,-17.7279,0,255,0,0,100,1,1
9,74,245,42.3591,0,255,0,0,100,1,1
10,493,111,-113.001,0,255,0,0,100,1,1
11,391,389,-141.566,0,255,0,0,100,1,1
12,184,51,-68.6908,0,255,0,0,100,1,1
13,480,388,166.574,0,255,0,0,100,1,1
14,469,545,116.958,0,255,0,0,100,1,1
15,511,493,-22.8042,0,255,0,0,100,1,1
16,203,241,80.2673,0,255,0,0,100,1,1
17,51,115,-50.4433,0,255,0,0,100,1,1
18,64,62,171.58,0,255,0,0,100,1,1
19,364,30,152.796,0,255,0,0,100,1,1
20,42,102,-49.632,0,0,255,0,100,1,1
21,459,303,22.5962,0,0,255,0,100,1,1
22,184,133,97.019,0,0,255,0,100,1,1
23,162,197,-57.2468,0,0,255,0,100,1,1
24,360,163,68.5929,0,0,255,0,100,1,1
25,510,444,-97.6898,0,0,255,0,100,1,1
26,394,484,111.612,0,0,255,0,100,1,1
27,269,434,140.259,0,0,255,0,100,1,1
28,415,577,54.0714,0,0,255,0,100,1,1
29,510,203,-97.4267,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
