### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,171,214,-111.118,0,255,0,0,100,1,1
1,498,574,-11.0067,0,255,0,0,100,1,1
2,498,151,-166.307,0,255,0,0,100,1,1
3,311,79,7.94143,0,255,0,0,100,1,1
4,34,72,-80.869,0,255,0,0,100,1,1
5,508,383,88.5033,0,255,0,0,100,1,1
6,83,106,28.2666,0,255,0,0,100,1,1
7,481,405,-163.211,0,255,0,0,100,1,1
8,285,135,165.733,0,255,0,0,100,1,1
9,322,539,-33.4622,0,255,0,0,100,1,1
10,186,474,-129.995,0,255,0,0,100,1,1
11,33,28,103.887,0,255,0,0,100,1,1
12,316,401,96.6027,0,255,0,0,100,1,1
13,401,373,173.499,0,255,0,0,100,1,1
14,399,231,-159.697,0,255,0,0,100,1,1
15,227,387,-18.7778,0,255,0,0,100,1,1
16,66,363,-15.5713,0,255,0,0,100,1,1
17,328,147,-149.925,0,255,0,0,100,1,1
18,196,228,-15.0078,0,255,0,0,100,1,1
19,200,454,16.6135,0,255,0,0,100,1,1
20,273,133,-149.174,0,0,255,0,100,1,1
21,61,488,17.4374,0,0,255,0,100,1,1
22,46,449,-70.968,0,0,255,0,100,1,1
23,189,543,74.6314,0,0,255,0,100,1,1
24,459,384,-98.3998,0,0,255,0,100,1,1
25,411,69,61.6059,0,0,255,0,100,1,1
26,310,153,129.663,0,0,255,0,100,1,1
27,158,525,56.0853,0,0,255,0,100,1,1
28,223,70,-6.84238,0,0,255,0,100,1,1
29,283,488,-159.91,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
