### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,361,406,-108.91,0,255,0,0,100,1,1
1,86,246,15.0321,0,255,0,0,100,1,1
2,128,541,73.6629,0,255,0,0,100,1,1
3,207,453,-18.1492,0,255,0,0,100,1,1
4,425,462,0.977743,0,255,0,0,100,1,1
5,567,140,-175.256,0,255,0,0,100,1,1
6,489,38,-19.4037,0,255,0,0,100,1,1
7,59,300,-25.1577,0,255,0,0,100,1,1
8,575,527,42.5177,0,255,0,0,100,1,1
9,445,113,-135.23,0,255,0,0,100,1,1
10,214,418,-8.72271,0,255,0,0,100,1,1
11,77,69,29.7443,0,255,0,0,100,1,1
12,377,27,-54.4372,0,255,0,0,100,1,1
13,78,567,-155.747,0,255,0,0,100,1,1
14,564,404,36.8187,0,255,0,0,100,1,1
15,515,148,36.96,0,255,0,0,100,1,1
16,478,533,-27.3838,0,255,0,0,100,1,1
17,53,424,-85.159,0,255,0,0,100,1,1
18,243,123,-14.3013,0,255,0,0,100,1,1
19,470,272,33.5606,0,255,0,0,100,1,1
20,59,90,105.294,0,0,255,0,100,1,1
21,392,428,-169.107,0,0,255,0,100,1,1
22,184,187,119.8,0,0,255,0,100,1,1
23,207,494,-17.9142,0,0,255,0,100,1,1
24,38,538,135.949,0,0,255,0,100,1,1
25,514,181,61.7492,0,0,255,0,100,1,1
26,555,559,136.243,0,0,255,0,100,1,1
27,375,439,179.422,0,0,255,0,100,1,1
28,243,560,80.8139,0,0,255,0,100,1,1
29,249,466,-118.511,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
