### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,179,74,107.986,0,255,0,0,100,1,1
1,519,36,149.475,0,255,0,0,100,1,1
2,436,493,-49.8229,0,255,0,0,100,1,1
3,89,465,174.368,0,255,0,0,100,1,1
4,570,194,-21.5514,0,255,0,0,100,1,1
5,68,459,22.0639,0,255,0,0,100,1,1
6,550,66,150.171,0,255,0,0,100,1,1
7,236,556,-3.03552,0,255,0,0,100,1,1
8,335,69,-36.0178,0,255,0,0,100,1,1
9,129,268,-160.389,0,255,0,0,100,1,1
10,548,39,92.8349,0,255,0,0,100,1,1
11,487,542,140.296,0,255,0,0,100,1,1
12,376,78,154.267,0,255,0,0,100,1,1
13,372,19,30.9531,0,255,0,0,100,1,1
14,180,362,-139.713,0,255,0,0,100,1,1
15,480,405,105.412,0,255,0,0,100,1,1
16,99,560,80.2618,0,255,0,0,100,1,1
17,289,454,61.0907,0,255,0,0,100,1,1
18,467,41,-72.621,0,255,0,0,100,1,1
19,565,283,29.4936,0,255,0,0,100,1,1
20,220,481,-66.9076,0,0,255,0,100,1,1
21,320,103,-110.304,0,0,255,0,100,1,1
22,448,369,173.519,0,0,255,0,100,1,1
23,230,121,174.803,0,0,255,0,100,1,1
24,458,236,-151.49,0,0,255,0,100,1,1
25,548,262,-164.365,0,0,255,0,100,1,1
26,376,400,-167.449,0,0,255,0,100,1,1
27,548,525,-37.3969,0,0,255,0,100,1,1
28,265,532,25.7612,0,0,255,0,100,1,1
29,74,99,4.75795,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
