### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,236,21,79.2106,0,255,0,0,100,1,1
1,251,103,-5.08655,0,255,0,0,100,1,1
2,126,317,67.9336,0,255,0,0,100,1,1
3,380,121,162.737,0,255,0,0,100,1,1
4,267,85,-118.375,0,255,0,0,100,1,1
5,480,571,-125.577,0,255,0,0,100,1,1
6,202,373,19.9764,0,255,0,0,100,1,1
7,424,327,-34.5816,0,255,0,0,100,1,1
8,59,122,-45.0779,0,255,0,0,100,1,1
9,176,43,-70.5845,0,255,0,0,100,1,1
10,108,488,86.446,0,255,0,0,100,1,1
11,516,436,65.4611,0,255,0,0,100,1,1
12,84,216,-92.5224,0,255,0,0,100,1,1
13,230,433,-171.55,0,255,0,0,100,1,1
14,421,277,-24.5197,0,255,0,0,100,1,1
15,65,545,-132.763,0,255,0,0,100,1,1
16,551,405,-158.365,0,255,0,0,100,1,1
17,265,454,167.694,0,255,0,0,100,1,1
18,540,272,9.84799,0,255,0,0,100,1,1
19,458,30,122.089,0,255,0,0,100,1,1
20,447,536,-68.584,0,0,255,0,100,1,1
21,81,470,14.641,0,0,255,0,100,1,1
22,488,444,88.4825,0,0,255,0,100,1,1
23,484,554,-4.16459,0,0,255,0,100,1,1
24,181,317,-156.967,0,0,255,0,100,1,1
25,156,368,-76.7707,0,0,255,0,100,1,1
26,224,46,-153.831,0,0,255,0,100,1,1
27,462,126,141.417,0,0,255,0,100,1,1
28,399,534,-109.534,0,0,255,0,100,1,1
29,79,503,107.191,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
