### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,415,346,-107.838,0,255,0,0,100,1,1
1,115,55,168.597,0,255,0,0,100,1,1
2,374,441,-162.361,0,255,0,0,100,1,1
3,48,116,173.151,0,255,0,0,100,1,1
4,211,383,28.4666,0,255,0,0,100,1,1
5,528,566,-86.256,0,255,0,0,100,1,1
6,17,277,-10.2082,0,255,0,0,100,1,1
7,194,430,-29.6451,0,255,0,0,100,1,1
8,495,441,-82.7477,0,255,0,0,100,1,1
9,49,485,-116.72,0,255,0,0,100,1,1
10,322,101,-168.607,0,255,0,0,100,1,1
11,348,63,-32.577,0,255,0,0,100,1,1
12,423,404,-114.754,0,255,0,0,100,1,1
13,382,392,-109.513,0,255,0,0,100,1,1
14,63,272,51.6629,0,255,0,0,100,1,1
15,273,457,36.1371,0,255,0,0,100,1,1
16,71,515,-119.231,0,255,0,0,100,1,1
17,449,394,-128.588,0,255,0,0,100,1,1
18,505,32,114.028,0,255,0,0,100,1,1
19,420,352,40.7932,0,255,0,0,100,1,1
20,38,476,-157.754,0,0,255,0,100,1,1
21,242,480,-40.0991,0,0,255,0,100,1,1
22,451,344,45.891,0,0,255,0,100,1,1
23,78,112,32.0353,0,0,255,0,100,1,1
24,162,68,11.2763,0,0,255,0,100,1,1
25,427,264,145.382,0,0,255,0,100,1,1
26,573,208,152.069,0,0,255,0,100,1,1
27,462,481,-6.95338,0,0,255,0,100,1,1
28,568,87,126.192,0,0,255,0,100,1,1
29,390,419,-37.9678,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
