### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,152,465,-56.5807,0,255,0,0,100,1,1
1,105,340,173.817,0,255,0,0,100,1,1
2,209,143,64.2941,0,255,0,0,100,1,1
3,98,563,127.091,0,255,0,0,100,1,1
4,205,497,136.793,0,255,0,0,100,1,1
5,155,59,-77.0662,0,255,0,0,100,1,1
6,105,533,23.5462,0,255,0,0,100,1,1
7,405,265,30.3888,0,255,0,0,100,1,1
8,395,555,146.643,0,255,0,0,100,1,1
9,352,128,-129.115,0,255,0,0,100,1,1
10,534,401,-71.6386,0,255,0,0,100,1,1
11,119,214,75.6881,0,255,0,0,100,1,1
12,66,494,-173.741,0,255,0,0,100,1,1
13,355,35,-78.5172,0,255,0,0,100,1,1
14,385,113,136.098,0,255,0,0,100,1,1
15,538,390,146.506,0,255,0,0,100,1,1
16,339,154,96.8975,0,255,0,0,100,1,1
17,220,59,122.607,0,255,0,0,100,1,1
18,255,459,169.16,0,255,0,0,100,1,1
19,412,46,31.7976,0,255,0,0,100,1,1
20,87,359,51.9402,0,0,255,0,100,1,1
21,528,199,-113.749,0,0,255,0,100,1,1
22,81,482,172.474,0,0,255,0,100,1,1
23,41,45,97.99,0,0,255,0,100,1,1
24,519,63,-42.8875,0,0,255,0,100,1,1
25,106,215,-23.9952,0,0,255,0,100,1,1
26,142,408,27.6039,0,0,255,0,100,1,1
27,33,68,-168.885,0,0,255,0,100,1,1
28,269,557,74.3355,0,0,255,0,100,1,1
29,544,262,-135.423,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
