### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,197,277,71.3043,0,255,0,0,100,1,1
1,564,61,134.804,0,255,0,0,100,1,1
2,168,135,41.5904,0,255,0,0,100,1,1
3,417,544,0.533282,0,255,0,0,100,1,1
4,490,440,-76.2239,0,255,0,0,100,1,1
5,309,160,-171.352,0,255,0,0,100,1,1
6,19,568,63.3302,0,255,0,0,100,1,1
7,468,141,-48.342,0,255,0,0,100,1,1
8,462,88,81.563,0,255,0,0,100,1,1
9,348,534,83.049,0,255,0,0,100,1,1
10,488,89,-177.728,0,255,0,0,100,1,1
11,53,497,-178.344,0,255,0,0,100,1,1
12,50,183,-97.4455,0,255,0,0,100,1,1
13,211,112,-3.95367,0,255,0,0,100,1,1
14,168,419,-73.9377,0,255,0,0,100,1,1
15,145,406,-144.083,0,255,0,0,100,1,1
16,401,209,70.0106,0,255,0,0,100,1,1
17,149,319,58.0361,0,255,0,0,100,1,1
18,566,242,47.689,0,255,0,0,100,1,1
19,469,253,51.8806,0,255,0,0,100,1,1
20,525,311,110.434,0,0,255,0,100,1,1
21,241,161,-90.1431,0,0,255,0,100,1,1
22,542,510,131.357,0,0,255,0,100,1,1
23,95,126,-4.13554,0,0,255,0,100,1,1
24,498,462,-37.6421,0,0,255,0,100,1,1
25,526,497,125.241,0,0,255,0,100,1,1
26,359,427,-150.505,0,0,255,0,100,1,1
27,102,248,131.705,0,0,255,0,100,1,1
28,215,444,46.9721,0,0,255,0,100,1,1
29,31,398,-76.8296,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
