### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,234,171,-134.722,0,255,0,0,100,1,1
1,126,265,34.6579,0,255,0,0,100,1,1
2,144,576,149.406,0,255,0,0,100,1,1
3,398,53,-175.072,0,255,0,0,100,1,1
4,449,246,-160.456,0,255,0,0,100,1,1
5,439,132,-83.4145,0,255,0,0,100,1,1
6,50,276,-149.243,0,255,0,0,100,1,1
7,106,415,-19.0785,0,255,0,0,100,1,1
8,515,336,166.617,0,255,0,0,100,1,1
9,493,521,49.9919,0,255,0,0,100,1,1
10,533,129,-39.6534,0,255,0,0,100,1,1
11,482,322,-126.33,0,255,0,0,100,1,1
12,35,371,161.086,0,255,0,0,100,1,1
13,318,480,72.2119,0,255,0,0,100,1,1
14,327,560,-39.6832,0,255,0,0,100,1,1
15,200,531,-177.568,0,255,0,0,100,1,1
16,463,176,-49.3897,0,255,0,0,100,1,1
17,245,500,-101.745,0,255,0,0,100,1,1
18,426,437,178.684,0,255,0,0,100,1,1
19,412,18,174.105,0,255,0,0,100,1,1
20,479,527,-23.3456,0,0,255,0,100,1,1
21,451,219,124.424,0,0,255,0,100,1,1
22,531,359,-160.625,0,0,255,0,100,1,1
23,316,47,96.068,0,0,255,0,100,1,1
24,72,574,-31.0831,0,0,255,0,100,1,1
25,38,311,12.9675,0,0,255,0,100,1,1
26,268,48,-1.98724,0,0,255,0,100,1,1
27,106,143,153.745,0,0,255,0,100,1,1
28,358,116,-62.745,0,0,255,0,100,1,1
29,45,201,-92.2458,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
