### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,46,417,-34.7236,0,255,0,0,100,1,1
1,138,305,33.5586,0,255,0,0,100,1,1
2,435,518,131.818,0,255,0,0,100,1,1
3,305,475,-168.861,0,255,0,0,100,1,1
4,335,394,44.7805,0,255,0,0,100,1,1
5,558,570,-27.0494,0,255,0,0,100,1,1
6,257,134,14.0892,0,255,0,0,100,1,1
7,428,246,105.637,0,255,0,0,100,1,1
8,495,61,-172.279,0,255,0,0,100,1,1
9,78,504,178.472,0,255,0,0,100,1,1
10,19,178,-118.063,0,255,0,0,100,1,1
11,108,60,-159.214,0,255,0,0,100,1,1
12,354,430,-166.936,0,255,0,0,100,1,1
13,122,350,34.0384,0,255,0,0,100,1,1
14,210,93,-35.0216,0,255,0,0,100,1,1
15,538,310,96.699,0,255,0,0,100,1,1
16,168,432,132.229,0,255,0,0,100,1,1
17,278,436,-23.3314,0,255,0,0,100,1,1
18,62,117,-148.205,0,255,0,0,100,1,1
19,359,504,17.1442,0,255,0,0,100,1,1
20,128,226,130.823,0,0,255,0,100,1,1
21,186,94,133.415,0,0,255,0,100,1,1
22,458,297,-92.7168,0,0,255,0,100,1,1
23,349,146,50.8514,0,0,255,0,100,1,1
24,549,56,114.322,0,0,255,0,100,1,1
25,337,411,-129.108,0,0,255,0,100,1,1
26,350,438,40.6527,0,0,255,0,100,1,1
27,330,61,150.207,0,0,255,0,100,1,1
28,446,279,-126.278,0,0,255,0,100,1,1
29,436,420,-129.866,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
