### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,510,299,64.1621,0,255,0,0,100,1,1
1,396,30,-79.3226,0,255,0,0,100,1,1
2,177,518,127.051,0,255,0,0,100,1,1
3,563,548,-92.2594,0,255,0,0,100,1,1
4,114,130,-80.8296,0,255,0,0,100,1,1
5,200,464,128.508,0,255,0,0,100,1,1
6,449,257,-100.037,0,255,0,0,100,1,1
7,496,398,-33.3589,0,255,0,0,100,1,1
8,468,445,-77.957,0,255,0,0,100,1,1
9,265,168,168.188,0,255,0,0,100,1,1
10,89,67,-125.41,0,255,0,0,100,1,1
11,132,151,7.98129,0,255,0,0,100,1,1
12,473,419,-83.5447,0,255,0,0,100,1,1
13,157,48,-76.3193,0,255,0,0,100,1,1
14,131,106,44.7516,0,255,0,0,100,1,1
15,70,462,26.6776,0,255,0,0,100,1,1
16,466,119,144.964,0,255,0,0,100,1,1
17,353,550,48.3828,0,255,0,0,100,1,1
18,20,464,147.374,0,255,0,0,100,1,1
19,384,452,-44.3307,0,255,0,0,100,1,1
20,506,379,166.495,0,0,255,0,100,1,1
21,142,304,-144.439,0,0,255,0,100,1,1
22,492,344,-47.1622,0,0,255,0,100,1,1
23,310,426,-171.632,0,0,255,0,100,1,1
24,482,303,-106.464,0,0,255,0,100,1,1
25,96,268,-53.7867,0,0,255,0,100,1,1
26,120,380,-4.89674,0,0,255,0,100,1,1
27,97,434,-110.551,0,0,255,0,100,1,1
28,421,236,78.0326,0,0,255,0,100,1,1
29,314,424,-156.184,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
