### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,406,144,107.717,0,255,0,0,100,1,1
1,478,263,-67.9862,0,255,0,0,100,1,1
2,202,355,58.5136,0,255,0,0,100,1,1
3,145,405,-175.5,0,255,0,0,100,1,1
4,511,243,-153.997,0,255,0,0,100,1,1
5,72,475,-12.785,0,255,0,0,100,1,1
6,276,114,-60.9881,0,255,0,0,100,1,1
7,186,516,-16.7893,0,255,0,0,100,1,1
8,191,415,1.13387,0,255,0,0,100,1,1
9,393,392,-136.616,0,255,0,0,100,1,1
10,423,20,-71.2255,0,255,0,0,100,1,1
11,137,415,95.0849,0,255,0,0,100,1,1
12,408,123,152.721,0,255,0,0,100,1,1
13,400,449,-107.872,0,255,0,0,100,1,1
14,303,500,27.3213,0,255,0,0,100,1,1
15,91,173,140.68,0,255,0,0,100,1,1
16,549,273,-163.359,0,255,0,0,100,1,1
17,511,291,58.0978,0,255,0,0,100,1,1
18,445,413,-74.6348,0,255,0,0,100,1,1
19,59,216,-93.7848,0,255,0,0,100,1,1
20,26,299,-39.8992,0,0,255,0,100,1,1
21,445,123,96.0816,0,0,255,0,100,1,1
22,57,407,-35.8706,0,0,255,0,100,1,1
23,207,513,-133.302,0,0,255,0,100,1,1
24,461,180,-84.8607,0,0,255,0,100,1,1
25,247,500,-85.0559,0,0,255,0,100,1,1
26,137,341,-153.018,0,0,255,0,100,1,1
27,270,49,37.8516,0,0,255,0,100,1,1
28,252,482,159.852,0,0,255,0,100,1,1
29,72,351,-103.776,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
