### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,519,530,-14.4005,0,255,0,0,100,1,1
1,126,210,68.9668,0,255,0,0,100,1,1
2,147,21,49.1198,0,255,0,0,100,1,1
3,527,255,-128.468,0,255,0,0,100,1,1
4,150,449,117.053,0,255,0,0,100,1,1
5,316,463,79.7088,0,255,0,0,100,1,1
6,269,566,70.4622,0,255,0,0,100,1,1
7,397,130,141.562,0,255,0,0,100,1,1
8,565,572,-178.796,0,255,0,0,100,1,1
9,309,574,122.143,0,255,0,0,100,1,1
10,166,220,-161.312,0,255,0,0,100,1,1
11,226,111,88.6517,0,255,0,0,100,1,1
12,222,390,-58.4802,0,255,0,0,100,1,1
13,543,330,-69.048,0,255,0,0,100,1,1
14,58,114,148.711,0,255,0,0,100,1,1
15,483,447,27.9198,0,255,0,0,100,1,1
16,435,490,-102.213,0,255,0,0,100,1,1
17,24,518,45.8431,0,255,0,0,100,1,1
18,304,425,-27.215,0,255,0,0,100,1,1
19,138,259,135.075,0,255,0,0,100,1,1
20,234,486,-123.172,0,0,255,0,100,1,1
21,67,296,-116.769,0,0,255,0,100,1,1
22,108,259,-138.026,0,0,255,0,100,1,1
23,148,254,-63.8065,0,0,255,0,100,1,1
24,479,271,-69.7439,0,0,255,0,100,1,1
25,141,210,-76.5174,0,0,255,0,100,1,1
26,35,149,19.8799,0,0,255,0,100,1,1
27,315,157,136.141,0,0,255,0,100,1,1
28,107,357,151.442,0,0,255,0,100,1,1
29,337,44,-27.2046,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
