### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,91,402,-117.349,0,255,0,0,100,1,1
1,425,25,-52.9233,0,255,0,0,100,1,1
2,197,354,-53.6479,0,255,0,0,100,1,1
3,401,471,-12.7855,0,255,0,0,100,1,1
4,95,52,104.316,0,255,0,0,100,1,1
5,84,538,-96.5814,0,255,0,0,100,1,1
6,506,334,160.325,0,255,0,0,100,1,1
7,504,394,66.9669,0,255,0,0,100,1,1
8,579,307,50.2501,0,255,0,0,100,1,1
9,76,57,1.08718,0,255,0,0,100,1,1
10,538,382,-18.6637,0,255,0,0,100,1,1
11,343,520,166.402,0,255,0,0,100,1,1
12,67,333,-13.643,0,255,0,0,100,1,1
13,416,29,-176.856,0,255,0,0,100,1,1
14,192,525,2.31777,0,255,0,0,100,1,1
15,235,29,134.095,0,255,0,0,100,1,1
16,499,214,-174.833,0,255,0,0,100,1,1
17,292,59,35.7331,0,255,0,0,100,1,1
18,187,34,32.3588,0,255,0,0,100,1,1
19,145,348,-138.218,0,255,0,0,100,1,1
20,468,361,-161.379,0,0,255,0,100,1,1
21,266,521,-16.5979,0,0,255,0,100,1,1
22,199,468,2.54421,0,0,255,0,100,1,1
23,21,326,-7.32381,0,0,255,0,100,1,1
24,256,114,-179.382,0,0,255,0,100,1,1
25,300,515,0.644676,0,0,255,0,100,1,1
26,579,472,46.134,0,0,255,0,100,1,1
27,238,215,81.1077,0,0,255,0,100,1,1
28,294,547,-70.9799,0,0,255,0,100,1,1
29,64,34,-54.9109,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
