### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,416,203,-127.299,0,255,0,0,100,1,1
1,379,565,22.2077,0,255,0,0,100,1,1
2,524,534,-66.3116,0,255,0,0,100,1,1
3,29,524,15.6831,0,255,0,0,100,1,1
4,562,196,-102.136,0,255,0,0,100,1,1
5,162,544,-48.1409,0,255,0,0,100,1,1
6,498,464,18.5196,0,255,0,0,100,1,1
7,171,96,-11.6573,0,255,0,0,100,1,1
8,314,155,149.256,0,255,0,0,100,1,1
9,263,464,1.32068,0,255,0,0,100,1,1
10,393,477,-113.146,0,255,0,0,100,1,1
11,516,378,162.841,0,255,0,0,100,1,1
12,438,281,47.0756,0,255,0,0,100,1,1
13,126,500,99.4443,0,255,0,0,100,1,1
14,500,450,-29.5322,0,255,0,0,100,1,1
15,188,272,20.8747,0,255,0,0,100,1,1
16,447,234,163.954,0,255,0,0,100,1,1
17,43,143,-123.012,0,255,0,0,100,1,1
18,538,536,14.5629,0,255,0,0,100,1,1
19,262,465,43.7429,0,255,0,0,100,1,1
20,24,577,97.1463,0,0,255,0,100,1,1
21,467,113,177.677,0,0,255,0,100,1,1
22,524,137,4.25629,0,0,255,0,100,1,1
23,131,127,63.6905,0,0,255,0,100,1,1
24,543,421,-22.3838,0,0,255,0,100,1,1
25,202,517,4.29342,0,0,255,0,100,1,1
26,462,54,-144.309,0,0,255,0,100,1,1
27,306,436,38.9209,0,0,255,0,100,1,1
28,343,393,-147.06,0,0,255,0,100,1,1
29,534,574,-26.1366,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
