gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max
1,0.026222222222222216,0.02692100928161388,0.0,0.11111111111111112,0.5057059888848482,0.15275307076198172,0.14830101250744407,0.8844902923486303,0.6589187207462273,0.08709626388697467,0.3940394607361815,0.8107795434572407,0.34528491006288703,0.037003057458239536,0.25967822262423723,0.443967344339457
2,0.026444444444444444,0.02623634271411215,0.0,0.08888888888888889,0.4587270088839635,0.12091617872088126,0.20526530303600374,0.7859988700684756,0.658668106494123,0.09587155820487671,0.4330764173113016,0.8428507633872536,0.3346422066066265,0.030939675042246543,0.270002865998273,0.4252083020364538
3,0.028222222222222225,0.029790212992247246,0.0,0.13333333333333333,0.46364620823409874,0.13417227807360022,0.14836044278927318,0.7901521013347392,0.6633393945340638,0.09804656507592024,0.3601492870717669,0.8386679667861721,0.340826219584351,0.03418643199869544,0.26946354982450593,0.4456643515629925
4,0.03733333333333333,0.03294289859592253,0.0,0.15555555555555556,0.47135859923302026,0.14144417352219998,0.08790402248802882,0.829977120529521,0.6420237322922909,0.11222284328804313,0.1728746431919985,0.8516053529103201,0.3425059921554292,0.037246672688941586,0.2745433846201005,0.4544336953844687
5,0.030666666666666665,0.02771637658252243,0.0,0.13333333333333333,0.4165286700658947,0.16306381827510563,0.040269597631850056,0.7803004803666779,0.6162245992973139,0.16117496961522357,0.1450137098230382,0.8489781750642763,0.34699980651288376,0.03561582109461325,0.247716779900795,0.4397641523512059
6,0.035333333333333335,0.03486765100232238,0.0,0.11111111111111112,0.4471500787863607,0.18361308153352485,0.04312693483941149,0.8281483981316308,0.6088177612489392,0.16286090444854875,0.14017027719949474,0.8165626478086484,0.34928001573148015,0.03808553422031348,0.27838634495205716,0.44271981066289184
7,0.028000000000000004,0.026033217147746618,0.0,0.11111111111111112,0.4171132508070747,0.18960294468726233,0.033192129222203236,0.8870674109617274,0.6116492930421877,0.18593894741908903,0.13619496535971287,0.8494064669026765,0.352571496181017,0.046980894876951014,0.25059819003410894,0.4499480008836494
8,0.035333333333333335,0.03190959451673152,0.0,0.13333333333333333,0.401925278771894,0.1934617203147109,0.04203441065843744,0.851481890164966,0.5871304138695016,0.18682882153257957,0.1419252071997211,0.8493545606347029,0.3460877605868914,0.045406118944044824,0.26189045599575383,0.47257133165147264
9,0.03222222222222222,0.030205060486818196,0.0,0.11111111111111112,0.39787247171591317,0.1978573643488553,0.03434794311529495,0.8569472722690294,0.5756224945535946,0.18598503015109677,0.13576176877640508,0.8193234932179886,0.357552948374733,0.051133968106258434,0.2481548186892297,0.470267415211789
10,0.034444444444444444,0.03256522419945077,0.0,0.13333333333333333,0.45000058161399603,0.17712618089003382,0.04214696406071747,0.8131785168372677,0.6225333106163848,0.14401929062091587,0.12147752849344338,0.8183711266446769,0.3581648677862542,0.04203494772893705,0.29597786999767034,0.45139709930190536
11,0.03333333333333333,0.03273537747256942,0.0,0.13333333333333333,0.44062554765212264,0.17588309434553615,0.08100814342899554,0.9316530444959117,0.6354138192692164,0.12470356809778403,0.24936936349563132,0.8288616231456262,0.35543876833915106,0.033159425374286004,0.2661186880962852,0.43418722548513977
12,0.03177777777777777,0.033885063536375395,0.0,0.15555555555555556,0.4265928374871848,0.17254502264666008,0.039697998031209464,0.9159581443435593,0.6017436819752757,0.1438937246510653,0.14802134996343905,0.8404099394365104,0.3466411774426054,0.039011039136839,0.27017238470952615,0.43950199219457414
13,0.03955555555555556,0.039073213962799586,0.0,0.20000000000000004,0.4076765721188039,0.17521405610301477,0.04218782809556554,0.820427463922735,0.6084234436830083,0.13962406960919768,0.16484932690724383,0.8116910057834543,0.35576927853820556,0.033445334927252,0.27824775050941253,0.44595115466794155
14,0.048888888888888885,0.04169258453176382,0.0,0.20000000000000004,0.3814713257638984,0.20405091482373947,0.04236183186921639,0.870344924172211,0.5671679023609528,0.16849092373101068,0.1345632348801327,0.8078694636111104,0.3612415385399462,0.03666160157520718,0.263142587949814,0.43694946053096423
15,0.04511111111111111,0.04150918387151225,0.0,0.1777777777777778,0.37526671681094115,0.19562613370791726,0.07406214898983575,0.875830944258269,0.5831257773623567,0.15231332278677834,0.17200088617696122,0.8023143423813299,0.358738412947574,0.042932291884911634,0.26096754271066097,0.45313052859545716
16,0.04755555555555555,0.040978163411056014,0.0,0.1777777777777778,0.3681867979146295,0.19187968210215608,0.08124964419601845,0.78091637185908,0.5806496617456166,0.13375846542113093,0.31043005902674986,0.8377958024556554,0.3560176391817195,0.03627721292875226,0.2577502789401327,0.44885766189065635
17,0.056666666666666664,0.04800977266770734,0.0,0.1777777777777778,0.3636011441562792,0.17497547382698872,0.055021957505436724,0.7725300851350768,0.5854370105775594,0.1373155195754058,0.2233470156727759,0.8268776080363281,0.35057699705012285,0.043375635801257584,0.24154227412329776,0.4313219907342751
18,0.05288888888888888,0.038461781575679886,0.0,0.17777777777777778,0.31056279946031734,0.16906170992624242,0.047266191519398655,0.6891495415055506,0.5572865333173374,0.1399400021692467,0.2143910269240313,0.8187779276304913,0.3585898352980887,0.042234565240822294,0.21401802155308713,0.4546478233576261
19,0.060222222222222205,0.0434664621672081,0.0,0.19999999999999998,0.29767704942078405,0.166863802131036,0.07003930275516264,0.7218501907149332,0.5332570017001758,0.13960851996433843,0.22722704138689945,0.8162816710086073,0.36544407092952846,0.03711954676210856,0.2602058666454599,0.46186437175695955
20,0.059999999999999984,0.04591995182171517,0.0,0.26666666666666666,0.28087547572799515,0.17083883562174437,0.04807781907613847,0.8406565799214988,0.5336851460674045,0.1458827914872697,0.19833887359576718,0.8169109960618641,0.3681901528790196,0.04061690241335302,0.22197342704519665,0.46580761445681346
21,0.06377777777777777,0.04625799897461846,0.0,0.22222222222222224,0.26559719839118656,0.16790653727456828,0.04664224329875926,0.7352208931767213,0.5060912338236204,0.14957255631080166,0.20167502025307962,0.7807510035458497,0.36477763652924494,0.04273291354132704,0.22802929457499865,0.47522361305055777
22,0.0651111111111111,0.04015463935497859,0.0,0.20000000000000004,0.28049049362899364,0.18767983141808625,0.03946461501073212,0.7615560139791842,0.5093963617791645,0.16112969555453166,0.15987148574522292,0.8191790818024228,0.3727089768631994,0.04047662066827545,0.2784176980826761,0.4494377433346757
23,0.05555555555555555,0.047297325897317256,0.0,0.24444444444444446,0.2844103873041909,0.1949792646084478,0.03703904318493253,0.8955169113669058,0.5091226039988817,0.1542879403003625,0.19232202204968074,0.7925957958308315,0.3723359808763584,0.039183737678175894,0.26905646366635033,0.4794675005972325
24,0.056444444444444436,0.04042001704326431,0.0,0.19999999999999998,0.30021283716532615,0.1800244720716595,0.03579344175201475,0.8413181935599345,0.534859173595038,0.14653374857419585,0.18627684618625096,0.8319170724544384,0.3637157223805425,0.036355544537344596,0.27399377215539916,0.4502000832351518
25,0.06666666666666667,0.048381202349060536,0.0,0.22222222222222224,0.2912662385773592,0.18102140967577554,0.03766612006391254,0.7776596647232948,0.5178084551967614,0.1465395963979652,0.20888148637869675,0.8144793914636024,0.3639760933352224,0.040884192444023956,0.26444118593414767,0.44435570341798675
26,0.05977777777777778,0.04875689251686611,0.0,0.20000000000000004,0.27786311440672845,0.17504365036979663,0.03313653029983956,0.8281238541268291,0.5155716688578816,0.15454833052326947,0.19715019311418236,0.7855569494601095,0.368522476929148,0.0412376256903877,0.25129112999573844,0.4564569028917753
27,0.06888888888888887,0.05263430792145338,0.0,0.24444444444444446,0.2863542257201117,0.17405520483035747,0.04428739143983406,0.7917087811808149,0.5151424312426138,0.1562693891875189,0.19736206119306118,0.8382719717418811,0.368494361279089,0.043480072465670504,0.2125329223102739,0.44956790333779223
28,0.07288888888888888,0.048491312700394154,0.0,0.22222222222222224,0.3079001112903886,0.18239075636512492,0.05513486295700661,0.8238896007335269,0.5467932889497608,0.1518584818450889,0.1812791336927264,0.7870574124825674,0.3639144992483692,0.04289982087572738,0.24564572114108993,0.44549481725085843
29,0.07777777777777777,0.05101440125888443,0.0,0.22222222222222224,0.2966472096322139,0.17190496919492146,0.04530584459291174,0.7886207534997066,0.5499417496920279,0.14851478829029807,0.16206789584217407,0.8351623112270684,0.3606234335242258,0.03899420197558651,0.2552188659566412,0.44390704669689734
30,0.0711111111111111,0.04797118476649534,0.0,0.19999999999999998,0.28001657340842157,0.16414709237680888,0.05464589855579196,0.7779606246024532,0.5154108426398675,0.14351368793454522,0.2581498654135391,0.8081784143408406,0.3683764250789951,0.0391968877414514,0.2621442847670172,0.4646977163286869
31,0.0731111111111111,0.05500123455404556,0.0,0.26666666666666666,0.29797161075508544,0.16974765434788713,0.03813768713683186,0.7311898317228039,0.5324214459097673,0.1601644624631352,0.18232908168744963,0.7886941509360321,0.36827941422088506,0.047697954148466074,0.26498343835288146,0.48162437991816986
32,0.0791111111111111,0.06771910028352322,0.0,0.39999999999999997,0.2823638561412334,0.16122443756871008,0.04004709085796406,0.7675689012686818,0.538803371039303,0.1581172115028437,0.1525132286389933,0.811701508338429,0.36267916750363655,0.04110810154531539,0.2667491390906242,0.44953977778660353
33,0.08977777777777776,0.07012651706067918,0.0,0.35555555555555557,0.309789880051644,0.18013203680597437,0.040572877309016826,0.7707851736704548,0.5541528956822594,0.17613030308027175,0.15828444288752894,0.822917352208166,0.3540845694108572,0.046038590817942315,0.24789152135394335,0.43738588093531533
34,0.10222222222222221,0.07799968344348553,0.0,0.37777777777777777,0.3066829507787159,0.16060677010682245,0.03366882496782865,0.6990403358319757,0.570165155373379,0.16481311804561147,0.15612411435604365,0.7868260902628758,0.3497688451341765,0.047932811030851404,0.22499118841253227,0.45899768152946363
35,0.11888888888888888,0.07921684569569347,0.0,0.3555555555555556,0.34594936223156464,0.16038221512861428,0.046174366486304096,0.792813552433527,0.6197319330682586,0.1457012219856922,0.2006867791920256,0.8211105421611739,0.3406653573347607,0.04422825019107834,0.23019584770678628,0.45922253591399415
36,0.11555555555555555,0.08549059582965042,0.0,0.35555555555555557,0.3806027417713991,0.15605055120369027,0.03029878405320811,0.6839253238153313,0.6431146495242684,0.13729254607655084,0.15841360353662415,0.8152290021183002,0.33532685286749314,0.038352785987771774,0.27588637325740384,0.4381683028676873
37,0.13444444444444442,0.08968394436320923,0.0,0.4888888888888889,0.3861817330918458,0.16067753477230085,0.03702209792424246,0.736972667503308,0.660012228363678,0.12514698663657306,0.16505686059667027,0.8219951560317064,0.3311999865534038,0.03747881320509592,0.2732075134745899,0.4446741593036738
38,0.15466666666666665,0.09711492491875443,0.0,0.4444444444444445,0.41068081367398834,0.14184116577468248,0.04612266314047094,0.6890799457810878,0.6930006026961408,0.11851408572747776,0.19904898551649797,0.8339599217641255,0.321306019253535,0.03785282605469066,0.2394750886423609,0.4463213062302343
39,0.16755555555555554,0.10444066187003914,0.0,0.48888888888888893,0.3940322954561677,0.1456646053358933,0.04763146330053716,0.7047071048357143,0.6915808754692327,0.12918459340716013,0.23566388199162777,0.8611780620196621,0.32324487149053055,0.036666547064515394,0.2565909507361072,0.43002344581257423
40,0.18888888888888888,0.0926162932629987,0.0,0.39999999999999997,0.3759479377840263,0.1268596849621872,0.04458628977311673,0.6895130690584939,0.7038514894716812,0.09668232406253205,0.2706036219773517,0.8313050651131325,0.3149940466143882,0.03133693454253978,0.2585896611468927,0.43267152412373716
41,0.24222222222222217,0.09724602883129362,0.0,0.5555555555555556,0.3698911137438676,0.09957271968981787,0.050840172747283974,0.5917234799589765,0.7273782459001904,0.08640119854378833,0.19428113507915157,0.8356852304210413,0.3058211331863054,0.031317189488980636,0.24480031166519375,0.44436054710816014
42,0.2564444444444444,0.10097891235669325,0.022222222222222223,0.4666666666666666,0.3982141976817532,0.08933653174450573,0.06529105846471371,0.6334142584725079,0.74790416270941,0.055575848836766945,0.38247539377112444,0.8511560256789967,0.30439248603879826,0.02695371640526084,0.24317572030955356,0.3839438341680835
43,0.2706666666666666,0.10028995001531346,0.022222222222222223,0.5333333333333333,0.4113621568993429,0.1021251912680759,0.16917538483273045,0.6924464497446635,0.745408934872931,0.05629978667273209,0.4211404271271005,0.8417261188841687,0.29933426037466754,0.028944243310289997,0.24335528410173343,0.4042796536140573
44,0.2597777777777777,0.10898838991288232,0.0,0.48888888888888893,0.40823104578647235,0.10587174225697933,0.1525174577026405,0.6607112096773956,0.7356791008078819,0.05096806249000034,0.5583282195870249,0.8520390689888503,0.3010353250057801,0.02832009099602716,0.24313866693561603,0.39586402456199976
45,0.2722222222222222,0.09534213893546821,0.0,0.5111111111111111,0.3976707501122543,0.09868750707728333,0.12780289540236392,0.7660289559525122,0.7386495140018698,0.04949670789455291,0.5290880077394252,0.8085592204589432,0.296231727808157,0.03182162874437511,0.22656075772075904,0.4178576675355907
46,0.2713333333333333,0.11081271041772894,0.0,0.5333333333333333,0.37937040685061385,0.07534317225034902,0.14111702022704722,0.6015074684472345,0.7460123764216533,0.05381617635946043,0.4952068864501797,0.8319191074248828,0.2955348919781234,0.031793057177244094,0.23611686746658414,0.41517214448904677
47,0.2911111111111111,0.09683892697555967,0.022222222222222223,0.5555555555555555,0.37904165855259414,0.06500664323231274,0.2387632029708715,0.5552068923207855,0.7500791414465595,0.038321167316188114,0.6155351465156892,0.823501019080696,0.2938114937488806,0.026677102097670134,0.2273117417353989,0.39387202522325654
